snapshot_date,target_address,target_exgraph_node_id,evt_cnt_90d,cp_distinct_90d,cp_entropy_90d,cp_new_rate_30d,cp_reciprocity_90d,self_tx_rate_90d,token_hhi_90d,token_distinct_90d,active_days_90d,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_new_cp,importance_proxy_p3,p3_rank,p3_percentile
2022-08-01,0x550e970e31a45b06df01a00b1c89a478d4d5e00a,20916,1129,313,5.415701570255476,0.73648648648648651,0.035143769968051117,0,0.039059738625639877,179,81,3209,3169,2993,1955.2663388421834,1,1
2022-08-01,0xcda72070e455bb31c7690a170224ce43623d0b6f,3778,224707,21745,13.132503882086128,1.258476599808978,0.38289261899287191,0,0.0036208646336952531,18388,90,14460,10688,1374,1252.3295600246713,2,0.99993048314216193
2022-08-01,0xab906639403b15510a8d5e0318a590da66465268,51296,3784,1212,7.0928134007519947,0.70837988826815645,0.039603960396039604,0.0063424947145877377,0.0098924291270915468,300,82,1022,976,669,463.24431985233741,3,0.999860966284324
2022-08-01,0xc4c6c27b2259794a1dd35d438e703281c0e4a004,36895,4442,2153,9.2012412942021449,0.66217228464419475,0.09103576405016256,0.00022512381809995497,0.017518505125111678,526,90,965,844,474,393.90680453107245,4,0.9997914494264859
2022-08-01,0xc7d0445ac2947760b3dd388b8586adf079972bf3,1554935,1123,181,4.9387706111258725,1.9782608695652173,0.044198895027624308,0.00089047195013357077,0.13874285714285703,55,67,692,686,595,391.81718636124458,5,0.99972193256864794
2022-08-01,0x6527c94b30060a463159b291160651292c1b7855,99548,3881,1779,8.866335551219473,0.45698924731182794,0.00955593029792018,0.0023189899510435456,0.0056149311028375155,355,89,952,897,465,381.85634955002996,6,0.99965241571080987
2022-08-01,0x616ed054e0e0fdbfcad3fa2f42daed3d7d4ee448,3266,7205,2320,8.014843693127963,0.36751080914144535,0.041810344827586207,0.0023594725884802221,0.009244956137402267,414,90,831,780,458,328.33884264149265,7,0.9995828988529718
2022-08-01,0xc2978441f46a76c60e0cd59e986498b75a40572d,13971,5161,1752,7.7275588729206186,0.50441767068273091,0.04737442922374429,0.0094942840534780089,0.00613978344260465,537,90,628,585,400,286.87560432239866,8,0.99951338199513384
2022-08-01,0xb585b60de71e48032e8c19b90896984afc6a660d,242322,6007,1872,7.2074491146839845,0.72622001654259716,0.026709401709401708,0.0083236224404861,0.010538777303355035,357,81,773,751,396,262.56247357303391,9,0.99944386513729577
2022-08-01,0x9ab17bdaa2ab4a70aedd11a2a2641a14d5b23ddb,46450,2659,947,7.31043881346119,0.51914893617021274,0.031678986272439279,0.0015043249341857841,0.015060467616232202,199,83,755,732,347,256.56575967389409,10,0.99937434827945781
2022-08-01,0x730aba725664974efb753ee72ca789541c733db4,100849,4017,1348,7.727645702074299,0.5529197080291971,0.046735905044510383,0.0004978839930296241,0.012084781005109218,263,86,481,458,334,248.25736082269452,11,0.99930483142161974
2022-08-01,0x5fd2c02689d138547b7b1b9e7d9a309d5a03edcd,9465,2627,864,7.3893284259982037,0.8571428571428571,0.034722222222222224,0.00038066235249333843,0.032064624295076935,174,86,657,627,318,240.88503726427206,12,0.99923531456378167
2022-08-01,0xb7af436ed99654fae6c6faa6c627ba598d3a2bce,46784,5622,2237,9.1669612783401853,0.46939988116458703,0.025480554313813141,0,0.2484046369460032,244,89,616,596,287,236.43706681233792,13,0.99916579770594371
2022-08-01,0x3298492ee2689911866ebb01a1774db060ad6a7c,51060,201,103,5.8504756117546712,0.33766233766233766,0.048543689320388349,0,0.0260009765625,64,47,338,290,260,227.49174293372997,14,0.99909628084810564
2022-08-01,0xb085030e936a9d564f4f159f390e1bc2b4473804,16351,1340,412,6.6273681322878826,0.47564469914040114,0.10679611650485436,0.0014925373134328358,0.0382777983980077,113,73,406,377,263,200.65592735961269,15,0.99902676399026769
2022-08-01,0x3fbe2fd902d278e3f05575149505f998445ea4b0,140763,4028,755,4.6396994394539792,0.43533123028391169,0.01456953642384106,0.00024826216484607745,0.018969680920441583,298,79,517,509,404,196.06415446453641,16,0.99895724713242962
2022-08-01,0x92e9b91aa2171694d740e7066f787739ca1af9de,15633,1788,705,7.3316559311125591,0.099365750528541227,0.062411347517730496,0.00055928411633109618,0.01719126117809391,219,80,395,372,241,186.74976669794873,17,0.99888773027459155
2022-08-01,0xfd2204757ab46355e60251386f823960acccefe7,21023,2307,768,6.3385192514746453,0.46164772727272729,0.040364583333333336,0.0017338534893801473,0.010023488190800563,309,75,393,381,282,186.48611601572406,18,0.99881821341675359
2022-08-01,0x74ac45c146bcaa47a227c87a32860eb8ac3e57c4,73209,562,201,6.1877535189072326,0.59235668789808915,0.0845771144278607,0,0.030527696818674122,76,63,439,419,228,184.39397082330541,19,0.99874869655891552
2022-08-01,0x69945f396a248555a28703a593de3082d6947e4a,282513,351,141,5.7647130641778244,1.2093023255813953,0.063829787234042548,0,0.065156249999999985,37,46,263,249,221,178.44280743988929,20,0.99867917970107756
