snapshot_date,target_address,target_sequence_index,cp_type,stratum,activity,pop_weight,pool_n,truth_in_pool,cheap_rank,cheap_rr,obs_rank,mask_rank,full_rank,full_rr,full_parse_ok,belief_shift,mask_sensitive,nocf_rank,nocf_rr,nocf_parse_ok,llm_calls,prompt_tokens,completion_tokens,total_tokens,nocf_total_tokens,latency_s,model
2022-09-01,0x5dfa5f04f86406544fd5135d65d745069427525f,0,new,new_popular,low,39.024,52,1,1.0,1.0,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,9966,419,10385,3231,14.583,glm-5.3
2022-09-01,0xe7c1c2a090e6dc7e549bd311b8c4dada047bea9c,12,new,new_tail,low,84.456,52,1,11.0,0.09090909090909091,4.0,4.0,4.0,0.25,1,reinforce,False,4.0,0.25,1,4,9954,410,10364,3214,14.11,glm-5.3
2022-09-01,0x5fe66911ba65ad2dbafc1e08e3d8a50deef3fbfc,8,new,new_tail,high,818.712,39,1,2.5,0.4,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,7716,396,8112,2473,14.27,glm-5.3
2022-09-01,0xe48b2269f98c24a1a744ffd9ee5879e5c8af4454,18,new,new_popular,high,170.08,52,1,23.5,0.0425531914893617,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9945,367,10312,3217,14.711,glm-5.3
2022-09-01,0xdb051ecf9267f7f636574bac68b1c5c021712a6e,0,new,new_tail,low,84.456,39,1,3.5,0.2857142857142857,6.0,6.0,6.0,0.16666666666666666,1,same,False,6.0,0.16666666666666666,1,4,7716,394,8110,2478,14.009,glm-5.3
2022-09-01,0xeaab816d50a844045b8686c10bcc68b96b17612a,72,new,new_popular,high,170.08,43,1,29.5,0.03389830508474576,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,8397,358,8755,2700,13.955,glm-5.3
2022-09-01,0x3a5f6b1756fb68cc1946ac9d7984a0627804a046,2,new,new_popular,low,39.024,52,1,1.0,1.0,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9963,426,10389,3236,14.255,glm-5.3
2022-09-01,0x43b19adfe4e15e149891145a0e4478c3e148420c,80,new,new_tail,high,818.712,52,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9950,382,10332,3216,11.974,glm-5.3
2022-09-01,0xa863eb34ec473cae2ab017c804e03318a2a82e9b,410,new,new_popular,high,170.08,52,1,25.0,0.04,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9957,393,10350,3234,13.009,glm-5.3
2022-09-01,0xaa4ea7de31fa57cf051cac897291f53489be47a8,174,new,new_tail,high,818.712,52,1,40.5,0.024691358024691357,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9962,395,10357,3233,13.724,glm-5.3
