snapshot_date,target_address,target_sequence_index,cp_type,stratum,activity,pop_weight,pool_n,truth_in_pool,cheap_rank,cheap_rr,obs_rank,mask_rank,full_rank,full_rr,full_parse_ok,belief_shift,mask_sensitive,nocf_rank,nocf_rr,nocf_parse_ok,llm_calls,prompt_tokens,completion_tokens,total_tokens,nocf_total_tokens,latency_s,model
2022-06-01,0xde8d57b468151f6b7a4349779500a2d73b5ebd1c,167,new,new_popular,low,46.568,52,1,1.0,1.0,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,9972,403,10375,3241,19.432,glm-5.3
2022-06-01,0xec03f88b042ceac3b70055479faaf6e40714592e,19,new,new_popular,low,46.568,44,1,3.0,0.3333333333333333,,,,,0,,,,,0,3,0,0,0,,240.685,glm-5.3
2022-06-01,0x602bf034f4f1093fab668bb270b4c6fb0627e41e,163,new,new_tail,low,106.24,52,1,4.5,0.2222222222222222,2.0,2.0,2.0,0.5,1,reinforce,False,22.0,0.045454545454545456,1,4,9987,452,10439,3270,15.935,glm-5.3
2022-06-01,0x9be773d7c6485cd2d964af355d1c2fdbfb6bfa36,181,new,new_tail,low,106.24,52,1,4.5,0.2222222222222222,1.0,2.0,1.0,1.0,1,weaken,True,1.0,1.0,1,4,9963,414,10377,3234,266.88,glm-5.3
2022-06-01,0x2879271e69cbebbd2cefc8c3ed1a1feeb74a52f8,227,new,new_tail,high,1255.936,52,1,16.5,0.06060606060606061,,,,,0,,,5.0,0.2,1,3,3142,90,3232,3232,197.117,glm-5.3
2022-06-01,0x7b4e32d7c0a0bab8083e3e9767a5af2472b5ccfe,551,new,new_tail,high,1255.936,52,1,2.5,0.4,,,,,0,,,7.0,0.14285714285714285,1,3,3138,82,3220,3220,197.069,glm-5.3
2022-06-01,0xeb7a4fbd6cea4f2c2c710a9c43fd9489748d0456,70,new,new_popular,low,46.568,51,1,1.0,1.0,6.0,6.0,6.0,0.16666666666666666,1,reinforce,False,6.0,0.16666666666666666,1,4,9804,403,10207,3173,34.179,glm-5.3
2022-06-01,0xf08755720ffee568d320c7daa9f5822b82c4f7a8,951,new,new_tail,high,1255.936,52,1,2.5,0.4,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9971,392,10363,3225,86.579,glm-5.3
2022-06-01,0xf99c4affa82b8b73ea40b3c0506c4b67cfeef7b7,115,new,new_tail,low,106.24,52,1,2.5,0.4,,,,,0,,,5.0,0.2,1,3,3134,69,3203,3203,252.878,glm-5.3
2022-06-01,0x841ffb5bd368fee8ad0354dc050bb2fa0ed2d716,416,new,new_tail,high,1255.936,52,1,6.0,0.16666666666666666,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9977,378,10355,3222,70.117,glm-5.3
