target_address,bridges_events,icf_score_p1,icf_raw_signal,p1_rank
0xcda72070e455bb31c7690a170224ce43623d0b6f,2511,1941.1194,0.2961,1
0xc4c6c27b2259794a1dd35d438e703281c0e4a004,3112,373.936,2.2899,2
0xe6db6ac28de1d5a602c617427297039cfcf01c0f,559,306.8351,37.2667,3
0x4c23e78d63db45315f30e418ac030a2986741fd4,308,302.6551,12.8333,4
0xb618aacb9dcdc21ca69d310a6fc04674d293a193,3547,290.6139,7.9351,5
0x3679aac6ffe31058bc24dace86853f166a74dfdd,1882,278.9102,8.4395,6
0xc72f40a397453051349f73cf2e2a04fac06e37a3,1139,267.9728,6.9451,7
0x1d4b9b250b1bd41daa35d94bf9204ec1b0494ee3,1094,255.6105,9.431,8
0xaa4ea7de31fa57cf051cac897291f53489be47a8,409,253.8006,12.3939,9
0x4a84e7b41268cea744c0f4bb48f042ef6f12686b,439,253.6459,4.9886,10
0xf9eefdb0738147bef77e3b8998fd8b96618552f0,453,248.3431,6.4714,11
0x24f6a339049c93c4a97f168da9193e63eb7e8ff0,2010,248.1244,7.3626,12
0x46c3adc31f3c8b8ee11b6468b7c31a21a2564611,366,234.8044,4.7532,13
0x10cf311ad0ff34cc5b3fdd89e5b9067efc7e2d5d,259,232.5688,10.36,14
0xc24688099b1df3e22bc80e64f53d8580c57f11c2,365,232.2705,2.92,15
0xcc228ba6d53f06d59404ecc5435d1399d3679a33,746,231.3267,8.5747,16
0x43d4bdeeca8dd891e89ed80dac83b70bf2d1d753,658,230.8061,5.1406,17
0x9aaddc5040d2093dc0dafc0803cbfca822341bca,408,222.7984,21.4737,18
0x0762301bd516fe5d37a89c944515011be4fe1b6f,416,222.538,12.2353,19
0xd443ff6c2402971674023becb19c5f26baa51f97,227,221.2812,22.7,20
0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,1251,219.5971,5.0444,21
0x32277fd245bb03a5dcade4d4486e9337458a1bbb,386,218.0336,8.3913,22
0x099594cc082e55f42cbe38425f853f2a937e55ea,458,216.6303,6.8358,23
0x685cb9e2035d915331379dcbf09d18084f126ba7,934,216.2336,4.3241,24
0xfbc76261fd55cf91b81a97dbcc2b3f6118f2b935,414,211.583,9.6279,25
0xd085fdbc919cc5c1fc807a0c9b90409c387f0ca1,387,208.9542,77.4,26
0xafbc3f98eedb5f9a25a4ab2232d1346612efe77c,545,207.3893,4.1923,27
0x70f31da8ceb05a6442d22238f3446d02cdf28f72,561,205.7383,3.7905,28
0x94aa50fe3c1ad32b0419004eee4f278ca3908876,2068,205.0402,4.9005,29
0x2ff20aa09cfa81889b7d049bba6d95a98c0a8424,266,202.971,2.4182,30
0xf1e1c701b49b1dc2405a9e8ef40f9f88802b80fa,953,201.7144,2.2745,31
0x9d455affe240a25adc6cd75293ca6ab2a010ab0f,529,200.8519,9.4464,32
0x1ffbff26a4eb5467e10dca1ef8a6d1fa91d8ca47,283,194.9727,10.4815,33
0x1aae1bc09e1785c8cb00650db0c6015bd73b0c7e,869,193.5723,5.5,34
0x592814ff14e030b51f6087032db0f88f4214f254,999,191.9098,0.2746,35
0x5cc8a75a5dce35b56ecc8bcaa984598ce1e6d3a4,191,191.0,3.6731,36
0x88febd0a4ab094ef59954cb229235316a2d15952,2659,190.9961,3.9334,37
0xba0995c52474dfb7c48181f71454a63a2847982c,636,189.253,1.939,38
0x35aa3f733958b7416669303945093c98819f77a6,849,187.703,4.8239,39
0x694e64d4ad77e0c234b7b1c55ac40302ad86ce3f,826,184.5837,4.6145,40
0xf25ad24b791e37e83f4dadfe212e0e9bb45a1f8b,420,184.1513,7.1186,41
0x7015853f4be641296f6c92690ff69fd36704dc2d,462,180.427,3.7869,42
0xc280963db6b68e4ff42040f17535d6b0c5f732cd,263,177.6513,1.7651,43
0x98394420720b1e9e83331f4ce0f0e47359e5da31,340,176.4918,14.1667,44
0xf2439241881964006369c0e2377d45f3740f48a0,1244,174.9354,2.8664,45
0x9d3f31110d4e440460b8e605c55a54a261ab8224,666,171.0448,4.9701,46
0x40415c1c0e7a8ff3e184b51a94a2fc5b92df9434,2016,170.4571,3.6991,47
0xa8539fe0f1115c987ed98930f51756f99f4a4643,643,167.4642,11.9074,48
0x231fdcac73f9fed1ac2d12af5f7cea39456019d6,351,167.375,13.0,49
0x547ca4a9cdfb994d0638894f611394cb96277308,1269,166.7805,4.1471,50
0x8b60e4c0f7089d2a3e85b6132216bd14233973f0,516,164.7167,6.45,51
0x6428d1cadd917db40b5289a296f89f25d969c496,553,164.1146,5.7604,52
