consensus_set,K,shared_n,n_count_ge1,n_ge1_random_expected,n_count_ge2,n_ge2_random_expected,n_count_ge3,n_ge3_random_expected,n_count_ge4,n_ge4_random_expected,n_all_methods,mean_consensus_count,mean_count_random_expected,consensus_n,consensus_mean_fwd30_evt,consensus_mean_fwd30_cp,consensus_mean_fwd30_newcp,lift_evt_vs_shared_support,lift_cp_vs_shared_support,n_count_ge5,n_ge5_random_expected,n_count_ge6,n_ge6_random_expected,n_count_ge7,n_ge7_random_expected,n_count_ge8,n_ge8_random_expected
primary_B_C_D_A,10,1283,12,39.53477133117816,0,0.462808136556896,0,0.0024157972644222973,0.0,4.735000518271849e-06,0,0.009353078721745909,0.03117692907248636,,,,,,,,,,,,,,
primary_B_C_D_A,25,1283,30,97.11494672390258,2,2.8474544126070462,0,0.0374139025326574,0.0,0.0001849609577449941,0,0.02494154325798909,0.0779423226812159,,,,,,,,,,,,,,
primary_B_C_D_A,50,1283,50,188.60944250574082,4,11.092725961659866,1,0.29487215727537935,0.0,0.0029593753239199054,0,0.042868277474668745,0.1558846453624318,,,,,,,,,,,,,,
primary_B_C_D_A,100,1283,90,355.6172586520648,12,42.04743909232346,3,2.2879522504289573,0.0,0.04735000518271849,0,0.0818394388152767,0.3117692907248636,,,,,,,,,,,,,,
primary_B_C_D_A,250,1283,223,743.8354657738829,36,221.8949679751247,18,32.41995667354258,7.0,1.8496095774499415,7,0.22135619641465315,0.779423226812159,7.0,258.0,236.57142857142858,129.14285714285714,7.642194209724338,7.677859527905061,,,,,,,,
primary_B_C_D_A,500,1283,419,1105.0216897897017,101,650.4155334415575,45,214.96902352954197,17.0,29.593753239199064,17,0.45362431800467656,1.558846453624318,17.0,263.0,246.41176470588235,103.58823529411765,7.790298748672484,7.997224884084971,,,,,,,,
primary_B_C_D_A,1000,1283,667,1279.962853276974,247,1237.0349844002828,135,1009.5021104955582,59.0,473.500051827185,59,0.8636009353078722,3.117692907248636,59.0,191.33898305084745,174.83050847457628,79.01694915254237,5.66763437351058,5.674075239625655,,,,,,,,
B_C_A,10,7929,20,29.96218011342021,9,0.03780398049971845,1,1.590608006888478e-05,,,1,0.0037835792659856224,0.0037835792659856224,1.0,14179.0,10482.0,1355.0,415.9970805350502,339.925472392638,,,,,,,,
B_C_A,25,7929,50,74.76377482837697,17,0.23597663912194877,8,0.0002485325010763246,,,8,0.009458948164964056,0.009458948164964055,8.0,2285.25,1794.5,447.5,67.04685297219292,58.19464417177914,,,,,,,,
B_C_A,50,7929,100,149.05609344351217,33,0.9419182964791843,16,0.001988260008610597,,,16,0.018791777021061926,0.01891789632992811,16.0,1454.375,1171.0,364.75,42.66984653382916,37.97488343558282,,,,,,,,
B_C_A,100,7929,192,296.2323268140832,78,3.7517671058478532,28,0.015906080068884776,,,28,0.03758355404212385,0.03783579265985622,28.0,916.8928571428571,743.7857142857143,236.5,26.900680706317047,24.120560035056968,,,,,,,,
B_C_A,250,7929,447,726.6011620886662,202,23.150305410257495,95,0.24853250107632466,,,95,0.09383276579644344,0.09458948164964057,95.0,453.34736842105264,388.1684210526316,153.30526315789473,13.300739243346197,12.588087568614787,,,,,,,,
B_C_A,500,7929,848,1407.39877835897,423,90.61296163241937,213,1.9882600086105973,,,213,0.1871610543574221,0.18917896329928113,213.0,294.01408450704224,257.5492957746479,106.51643192488262,8.626066774181192,8.352181456839194,,,,,,,,
B_C_A,1000,7929,1643,2637.5481534703226,841,346.5457664607927,439,15.906080068884778,,,439,0.3686467398158658,0.37835792659856227,439.0,192.15717539863326,169.71070615034168,72.57403189066059,5.6376912313768965,5.503624495157706,,,,,,,,
B_D_A,10,2999,12,29.900077840774088,0,0.09981097400367202,0,0.00011118522223868999,,,0,0.0040013337779259755,0.010003334444814937,,,,,,,,,,,,,,
B_D_A,25,2999,32,74.37652886629655,2,0.6217338646059748,0,0.0017372690974795314,,,0,0.011337112370790263,0.025008336112037347,,,,,,,,,,,,,,
B_D_A,50,2999,59,147.51306454157609,5,2.4730373056440627,0,0.013898152779836252,,,0,0.0213404468156052,0.050016672224074694,,,,,,,,,,,,,,
B_D_A,100,2999,113,290.1078507774237,10,9.78096400033756,2,0.11118522223869001,,,2,0.04168056018672891,0.10003334444814939,2.0,629.5,614.5,105.0,32.81255757365082,34.87605268636097,,,,,,,,
B_D_A,250,2999,279,689.2164288173861,29,59.0463020851343,13,1.7372690974795308,,,13,0.10703567855951984,0.25008336112037344,13.0,286.6923076923077,269.0769230769231,116.38461538461539,14.943777366285405,15.27150682817684,,,,,,,,
B_D_A,500,2999,550,1263.8147916594628,85,222.28705556070094,29,13.898152779836247,,,29,0.22140713571190396,0.5001667222407469,29.0,219.9655172413793,205.55172413793105,89.51724137931035,11.465657186180525,11.666123288538355,,,,,,,,
B_D_A,1000,2999,1018,2110.851777757196,214,777.9630000041137,111,111.18522223868997,,,111,0.4478159386462154,1.0003334444814937,111.0,146.7027027027027,133.46846846846847,62.9009009009009,7.646848099511696,7.575025774246077,,,,,,,,
C_D_A,10,1283,11,29.766780532522848,0,0.23261196691065916,0,0.0006075005664942782,,,0,0.00857365549493375,0.02338269680436477,,,,,,,,,,,,,,
C_D_A,25,1283,29,73.54807364607869,0,1.4424341575698518,0,0.009492196351473097,,,0,0.02260327357755261,0.05845674201091192,,,,,,,,,,,,,,
C_D_A,50,1283,49,144.2302633697206,1,5.693799059467621,0,0.07593757081178477,,,0,0.03897116134060795,0.11691348402182385,,,,,,,,,,,,,,
C_D_A,100,1283,89,277.2248037621295,7,22.16769567137621,0,0.6075005664942782,,,0,0.07482462977396727,0.2338269680436477,,,,,,,,,,,,,,
C_D_A,250,1283,217,613.3503413241934,28,127.15746232433364,7,9.4921963514731,,,7,0.19641465315666407,0.5845674201091193,7.0,258.0,236.57142857142858,129.14285714285714,7.642194209724338,7.677859527905061,,,,,,,,
C_D_A,500,1283,410,991.3701507026656,72,432.6922784855497,23,75.9375708117848,,,23,0.3936087295401403,1.1691348402182387,23.0,209.56521739130434,196.30434782608697,81.95652173913044,6.207511980261427,6.371002687971,,,,,,,,
C_D_A,1000,1283,666,1269.2308860578014,203,1123.2685474479204,75,607.5005664942784,,,75,0.7357755261106781,2.3382696804364773,75.0,162.77333333333334,148.36,66.42666666666666,4.8214938972772465,4.814982292826065,,,,,,,,
all_variants,10,1283,16,77.85130560529589,2,2.1153310950238273,0,0.03303800165421093,0.0,0.00032326334518317676,0,0.014029618082618862,0.06235385814497272,,,,,,,0.0,2.0267160686072733e-06,0.0,7.946993260410568e-09,0.0,1.7813859990842206e-11,0.0,1.7474847940790866e-14
all_variants,25,1283,35,186.87890913199345,7,12.614824733264197,2,0.49391266260536876,1.0,0.012159400655494831,0,0.03507404520654715,0.1558846453624318,,,,,,,0.0,0.0001921594504602023,0.0,1.9012437028950663e-06,0.0,1.0760726371743103e-08,0.0,2.666450186277902e-11
all_variants,50,1283,62,349.4920558592397,13,46.65087365623563,4,3.6685485260444604,3.0,0.18255297615060959,0,0.0646921278254092,0.3117692907248636,,,,,,,1.0,0.0058500387066796125,0.0,0.00011758331514903845,0.0,1.3534815819140672e-06,0.0,6.826112476871429e-09
