n,mean_fwd30_evt_cnt,median_fwd30_evt_cnt,mean_fwd30_cp_distinct,median_fwd30_cp_distinct,mean_fwd30_new_cp,median_fwd30_new_cp,support,K,support_n,support_mean_fwd30_evt,support_mean_fwd30_cp,support_mean_fwd30_newcp,lift_fwd30_evt_vs_support
10,2072.3,705.0,1628.0,632.5,456.9,401.0,B_act,10,18519,19.56514930611804,17.873805281062694,7.169069604190291,105.91792414034836
25,1103.72,563.0,917.24,524.0,288.28,247.0,B_act,25,18519,19.56514930611804,17.873805281062694,7.169069604190291,56.41255186613198
50,695.98,404.0,591.82,382.0,219.24,163.0,B_act,50,18519,19.56514930611804,17.873805281062694,7.169069604190291,35.572434899966055
100,458.4,250.5,397.41,234.0,159.94,114.5,B_act,100,18519,19.56514930611804,17.873805281062694,7.169069604190291,23.429414865577225
250,278.72,163.0,245.864,148.0,105.696,71.0,B_act,250,18519,19.56514930611804,17.873805281062694,7.169069604190291,14.24573846276982
500,187.676,113.0,166.586,103.0,73.598,47.0,B_act,500,18519,19.56514930611804,17.873805281062694,7.169069604190291,9.592362269441692
1000,130.715,82.0,116.44,74.0,52.15,33.0,B_act,1000,18519,19.56514930611804,17.873805281062694,7.169069604190291,6.681012138206648
10,2043.0,663.0,1634.6,632.5,457.1,366.0,B_new,10,18519,19.56514930611804,17.873805281062694,7.169069604190291,104.42036337341683
25,1063.44,536.0,885.84,518.0,315.32,277.0,B_new,25,18519,19.56514930611804,17.873805281062694,7.169069604190291,54.353789146268426
50,693.44,411.0,588.2,394.0,232.66,165.0,B_new,50,18519,19.56514930611804,17.873805281062694,7.169069604190291,35.442612225972674
100,463.87,257.0,404.38,238.0,168.55,123.0,B_new,100,18519,19.56514930611804,17.873805281062694,7.169069604190291,23.70899361626376
250,274.664,159.5,242.812,143.0,107.84,72.0,B_new,250,18519,19.56514930611804,17.873805281062694,7.169069604190291,14.038431074692197
500,184.628,108.0,163.912,97.5,74.808,49.0,B_new,500,18519,19.56514930611804,17.873805281062694,7.169069604190291,9.436575060649634
1000,128.79,80.0,114.78,73.0,52.083,33.0,B_new,1000,18519,19.56514930611804,17.873805281062694,7.169069604190291,6.582622906932135
10,1592.9,119.0,1211.1,115.5,210.9,22.0,C_struct,10,7929,34.08437381763148,30.836171017782824,12.955732122587968,46.7340256424488
25,846.08,203.0,680.8,164.0,195.52,85.0,C_struct,25,7929,34.08437381763148,30.836171017782824,12.955732122587968,24.823105289448854
50,557.6,149.0,458.92,133.0,154.9,69.5,C_struct,50,7929,34.08437381763148,30.836171017782824,12.955732122587968,16.359402786257423
100,349.29,129.0,293.39,117.5,103.32,52.0,C_struct,100,7929,34.08437381763148,30.836171017782824,12.955732122587968,10.247804517955265
250,220.78,107.0,191.428,89.0,76.9,39.0,C_struct,250,7929,34.08437381763148,30.836171017782824,12.955732122587968,6.477455070211467
