m1,m2,K,overlap,overlap_frac,jaccard,random_expected_overlap,random_expected_jaccard
B_act,B_new,10,8,0.8,0.6666666666666666,0.005399859603650305,0.0002700658960786432
B_act,B_new,25,17,0.68,0.5151515151515151,0.03374912252281441,0.0006754383594953125
B_act,B_new,50,41,0.82,0.6949152542372882,0.13499649009125764,0.0013517897696550232
B_act,B_new,100,85,0.85,0.7391304347826086,0.5399859603650305,0.0027072391575071746
B_act,B_new,250,214,0.856,0.7482517482517482,3.3749122522814408,0.006795694248124389
B_act,B_new,500,434,0.868,0.7667844522968198,13.499649009125763,0.01368438338168482
B_act,B_new,1000,908,0.908,0.8315018315018315,53.99859603650305,0.027748487707419948
B_act,C_struct,10,3,0.3,0.17647058823529413,0.005399859603650306,0.0002700658960786432
B_act,C_struct,25,9,0.36,0.21951219512195122,0.0337491225228144,0.0006754383594953123
B_act,C_struct,50,16,0.32,0.19047619047619047,0.1349964900912576,0.001351789769655023
B_act,C_struct,100,35,0.35,0.21212121212121213,0.5399859603650304,0.002707239157507174
B_act,C_struct,250,118,0.472,0.3089005235602094,3.3749122522814408,0.006795694248124389
B_act,C_struct,500,246,0.492,0.32625994694960214,13.499649009125763,0.01368438338168482
B_act,C_struct,1000,510,0.51,0.3422818791946309,53.99859603650305,0.027748487707419948
B_act,C_novol,10,5,0.5,0.3333333333333333,0.005399859603650306,0.0002700658960786432
B_act,C_novol,25,10,0.4,0.25,0.0337491225228144,0.0006754383594953123
B_act,C_novol,50,18,0.36,0.21951219512195122,0.1349964900912576,0.001351789769655023
B_act,C_novol,100,40,0.4,0.25,0.5399859603650304,0.002707239157507174
B_act,C_novol,250,128,0.512,0.34408602150537637,3.3749122522814408,0.006795694248124389
B_act,C_novol,500,255,0.51,0.3422818791946309,13.499649009125763,0.01368438338168482
B_act,C_novol,1000,524,0.524,0.35501355013550134,53.99859603650305,0.027748487707419948
B_act,D_ig_cp,10,0,0.0,0.0,0.005399859603650306,0.0002700658960786432
B_act,D_ig_cp,25,0,0.0,0.0,0.03374912252281441,0.0006754383594953125
