target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0xb32ec9935f9131d7f3d0b3ad1c28ca60f828a395,0.965878387976347,1,349,342,132,120
0x61c371ba956c7f2fbe0913843de98c5e55be8ee7,0.960565470449391,2,154,133,100,84
0x61d0ea212b35721e021f56094603165a92410c19,0.959690356044984,3,1147,1137,184,165
0x40a47a0beabb373ffe090c9233eb4126dbaba882,0.9576078377058098,4,529,496,310,292
0x5fd2c02689d138547b7b1b9e7d9a309d5a03edcd,0.9560646647763894,5,165,152,106,83
0xc4c6c27b2259794a1dd35d438e703281c0e4a004,0.9558511419455236,6,922,826,500,435
0x550e970e31a45b06df01a00b1c89a478d4d5e00a,0.9555071606059939,7,83,82,28,17
0xaa45fdcdcd6c895feaf22d2242c8b63c527f4a4e,0.9549015417505177,8,73,61,24,17
0x9939629aed5c318e9e92e1a073d56ad0dcd481f2,0.9545208123579504,9,247,221,154,127
0xf9eefdb0738147bef77e3b8998fd8b96618552f0,0.9543404197602111,10,110,100,57,39
