target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0xcda72070e455bb31c7690a170224ce43623d0b6f,241523,1,14179,10482,3728,1355
0x592814ff14e030b51f6087032db0f88f4214f254,24194,2,69,67,21,15
0xc3503192343eae4b435e4a1211c5d28bf6f6a696,12359,3,742,439,303,133
0x5a88054986f8fd06743bc6faa402ce349508ce04,12181,4,35,34,16,5
0x550e970e31a45b06df01a00b1c89a478d4d5e00a,8339,5,83,82,28,17
0x3fbe2fd902d278e3f05575149505f998445ea4b0,7550,6,425,413,339,319
0x616ed054e0e0fdbfcad3fa2f42daed3d7d4ee448,6925,7,776,744,512,449
0xb585b60de71e48032e8c19b90896984afc6a660d,6843,8,632,601,312,271
0x620b70123fb810f6c653da7644b5dd0b6312e4d8,6659,9,228,137,91,70
0xab906639403b15510a8d5e0318a590da66465268,5315,10,627,593,444,403
