target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0xcda72070e455bb31c7690a170224ce43623d0b6f,0.9980451507125742,1,14179,10482,3728,1355
0x550e970e31a45b06df01a00b1c89a478d4d5e00a,0.9969100769327784,2,83,82,28,17
0x592814ff14e030b51f6087032db0f88f4214f254,0.9961743809643924,3,69,67,21,15
0xb618aacb9dcdc21ca69d310a6fc04674d293a193,0.9961743809643924,4,69,63,25,16
0xf1e1c701b49b1dc2405a9e8ef40f9f88802b80fa,0.996048261655526,5,155,149,57,24
0xb7af436ed99654fae6c6faa6c627ba598d3a2bce,0.995659393786522,6,668,637,462,333
0x43716e58827d9f249fdde153a0a4827d0ce0a725,0.9956488838441164,7,33,29,28,20
0x2a878245b52a2d46cb4327541cbc96e403a84791,0.9952495060327068,8,203,164,119,85
0x2d62b7b4ab2aea16f53f78af3544088300040126,0.995228486147896,9,54,50,29,19
0x9ab17bdaa2ab4a70aedd11a2a2641a14d5b23ddb,0.9952074662630848,10,416,388,259,225
0x616ed054e0e0fdbfcad3fa2f42daed3d7d4ee448,0.9944087106402656,11,776,744,512,449
0xc4c6c27b2259794a1dd35d438e703281c0e4a004,0.9943876907554547,12,922,826,500,435
0x91cb1ff4322559a5c5c67dba075ab081c255ba1f,0.993315676630092,13,111,102,85,72
0xc72f40a397453051349f73cf2e2a04fac06e37a3,0.9933051666876866,14,270,246,107,76
0xf2439241881964006369c0e2377d45f3740f48a0,0.992579980661706,15,232,212,165,135
0x5fd2c02689d138547b7b1b9e7d9a309d5a03edcd,0.9920019338294024,16,165,152,106,83
0xe67ac23d6c555e9348c1086ada7e03e3f999c5d6,0.9918127548661032,17,388,376,272,245
0x3fbe2fd902d278e3f05575149505f998445ea4b0,0.991802244923698,18,425,413,339,319
0xb585b60de71e48032e8c19b90896984afc6a660d,0.9912347080338,19,632,601,312,271
0xec9e512fe7e90134d8ca7295329ccb0a57c91ecb,0.9909404296464456,20,163,148,120,97
0x5a8116f07937394e6ac2a51995ab6a054c08bf9e,0.9904149325261696,21,143,128,90,57
0x730aba725664974efb753ee72ca789541c733db4,0.9901206541388152,22,515,501,368,335
0x13a7d2fb3f73b57ef539c35c4ec59ed49b1833ca,0.9891642493799134,23,143,131,97,73
0x1f9dde7b25c87c97583d5771de13d60375aa3907,0.9888594610501534,24,42,37,27,11
0x07ef53877f921a8020af51b8dda96c3565fc82ed,0.9887018119140706,25,296,292,139,121
0xab906639403b15510a8d5e0318a590da66465268,0.9886807920292596,26,627,593,444,403
0x24f6a339049c93c4a97f168da9193e63eb7e8ff0,0.9884495732963382,27,98,84,52,29
0x25665e8b95792c23d6167d2d0903fdc6bfef87e9,0.9883234539874722,28,117,103,65,53
0xe85f832d9f551cf445a6e8ceaaee73ef88a340d6,0.9883129440450666,29,62,60,53,23
0x5199d6204b788016353a201b8dad4668a71f1a8a,0.9877769369823852,30,118,116,83,69
0x1d95b0b6d3582feec7ef35d2ccf91564ded0cf7f,0.9870412410139994,31,65,62,51,27
0x6527c94b30060a463159b291160651292c1b7855,0.9866628830874008,32,1103,942,592,566
0x484ec62385e780f2460feac34864a77ba5a18134,0.986505233951318,33,68,64,40,26
0x41a420856b3828462ea555c736caa93ccf022391,0.986463194181696,34,108,96,52,34
0x97064190190d4e2fb284a2d55dd53504e291c4cd,0.9864631941816958,35,86,79,64,47
0x1c5762f9899b46c19d4c9b8fbdd38d35856227f3,0.9860533064278808,36,112,110,77,40
0xefc8a4ad63faf1c9c1e9529f10daf3ec33621fa6,0.9860007567158532,37,17,17,14,9
0xf06bed3f0dad7932d8d00fe48c36751f5c10be23,0.9859797368310422,38,258,249,108,92
0x2a76f7df64889a1f20f5b6aa87ebffa9a38ab925,0.9852440408626562,39,29,27,18,10
0xc2978441f46a76c60e0cd59e986498b75a40572d,0.9852125110354396,40,658,628,439,399
0xc3503192343eae4b435e4a1211c5d28bf6f6a696,0.984939252532896,41,742,439,303,133
0x620b70123fb810f6c653da7644b5dd0b6312e4d8,0.984876192878463,42,228,137,91,70
0x016dbc709b8c1667d7303e2c4129167d660dc010,0.9845608946062976,43,159,135,80,60
0x2ea4815f47d685ed317e8bd243b89bcb26b369fa,0.9844557951822424,44,740,724,412,367
0x2a40e8eb5ce03cc5327f8326040781cdb8e36b16,0.9844137554126204,45,52,47,37,16
0x1d4b9b250b1bd41daa35d94bf9204ec1b0494ee3,0.9840984571404552,46,89,82,61,47
0xb9c416eb0d03efdce046e4f4bba26c1c3544f4c1,0.9836149997898012,47,26,24,10,6
0x720bf57f67b6b00b97cbd9d967a0af2427352435,0.9833942909992852,48,133,111,85,61
0x0f8176c597aa2136b54bca3f10e098c668fa2ccb,0.9829213435910372,49,946,918,299,251
0xd722a299d14a19b56cddaeae0e1d5a5786424570,0.9827952242821708,50,87,79,47,19
0x45ab04c54264f485eef8db0c20e531e9d37cd53a,0.9821120780258124,51,108,90,61,39
0x65b27ba7362ce3f241dafdfc03ef24d080e41413,0.9816391306175642,52,108,104,90,63
0x452fcd9f73a5f09f6b6be34b708e4c2b7d8fc46b,0.9811872030941272,53,41,39,27,12
0x6102fb7b72936d10d1029573461cc2409979f49d,0.9810715937276664,54,402,369,217,176
0xebbbbb20f4546a279bdb5b7693f7120a43482e51,0.98073527557069,55,154,129,95,77
0x0187c9a182736ba18b44ee8134ee438374cf87dc,0.9806406860890404,56,85,77,65,47
0x938a0af4b86057489bc651dd02c080890d8ed5e5,0.9799995796023038,57,120,99,51,36
0xcf04c33bfea64cf5dd6ea97e2d5620f825b03b49,0.9799785597174928,58,56,51,22,15
0x7b640407513bc16167ef3450fd6339803982e976,0.9797473409845714,59,63,59,16,6
0x1ad42fb475192c8c0a2fc7d0df6fac4f71142c58,0.9789801151889688,60,229,224,100,83
0xfbc76261fd55cf91b81a97dbcc2b3f6118f2b935,0.9788014461680752,61,220,212,35,27
0xb6940b05101cf385053c7dfe626e23c1f8e6e2a2,0.978370538529449,62,27,24,10,4
0x92e9b91aa2171694d740e7066f787739ca1af9de,0.9783284987598267,63,224,203,131,104
0x3bbcf2972299e6da5ef830af78791e3a7ed7278d,0.9782339092781772,64,135,132,81,63
0x99e73a69536f7365fd4f2f2e5391f5daa484b99b,0.9780867700845,65,45,41,35,28
0x9d3c4678ce905404d4ca99223043ab0329ca8f0a,0.9779921806028504,66,123,119,116,99
0xbb85bff98f145af30ba935ae4ded97c7a5ce9bf2,0.977739941985118,67,9,8,4,1
0xd458f62925b3e135680626a0f520098972f93fe9,0.9762475301635348,68,49,43,28,17
0xb334fbf9e27dc7ee68279be78b1477c7f42451dc,0.9761529406818852,69,173,147,123,99
0x62ce1d739b9bc6ab5f716a772ea585425d3843b1,0.97604784125783,70,180,153,92,68
0xc5f59709974262c4afacc5386287820bdbc7eb3a,0.9759007020641528,71,92,88,23,18
0x7b5658e5212377020b953d232875fc59ee6edbef,0.9749232774204396,72,96,87,45,30
0x16c93ec97512832ba4244cc69527530d358db0e5,0.9747551183419516,73,31,28,24,8
0x7abca3cbc8aa182d10f742f72e2e8bc68c4a8839,0.9745974692058688,74,256,244,108,94
0x56e106c1aa3ba30888a6c6a577ac895bb01111ac,0.9743767604153528,75,166,143,62,29
0xadc3546ea680e21afa7d5d45dcd03f2f8957241a,0.9731470971539076,76,107,103,46,34
0x9d3f31110d4e440460b8e605c55a54a261ab8224,0.9728423088241476,77,37,31,17,7
0x46b2bd5c888e6d57a839c559fd6076f2c15a8cb1,0.9727161895152816,78,166,144,101,66
0xf25ad24b791e37e83f4dadfe212e0e9bb45a1f8b,0.9725480304367932,79,53,50,24,15
0x44e9d011df8741be2493e99297e9ad67bb1aa85b,0.9722957918190608,80,304,277,81,61
