consensus_set,method,K,topk_n,unique_n,unique_frac
primary_B_C_D_A,B_act,10,10,3,0.3
primary_B_C_D_A,C_struct,10,10,5,0.5
primary_B_C_D_A,D_ig_cp,10,10,10,1.0
primary_B_C_D_A,A_vol,10,10,3,0.3
primary_B_C_D_A,B_act,25,25,10,0.4
primary_B_C_D_A,C_struct,25,25,14,0.56
primary_B_C_D_A,D_ig_cp,25,25,25,1.0
primary_B_C_D_A,A_vol,25,25,9,0.36
primary_B_C_D_A,B_act,50,50,22,0.44
primary_B_C_D_A,C_struct,50,50,28,0.56
primary_B_C_D_A,D_ig_cp,50,50,49,0.98
primary_B_C_D_A,A_vol,50,50,17,0.34
primary_B_C_D_A,B_act,100,100,29,0.29
primary_B_C_D_A,C_struct,100,100,55,0.55
primary_B_C_D_A,D_ig_cp,100,100,94,0.94
primary_B_C_D_A,A_vol,100,100,27,0.27
primary_B_C_D_A,B_act,250,250,62,0.248
primary_B_C_D_A,C_struct,250,250,110,0.44
primary_B_C_D_A,D_ig_cp,250,250,225,0.9
primary_B_C_D_A,A_vol,250,250,66,0.264
primary_B_C_D_A,B_act,500,500,107,0.214
primary_B_C_D_A,C_struct,500,500,189,0.378
primary_B_C_D_A,D_ig_cp,500,500,418,0.836
primary_B_C_D_A,A_vol,500,500,99,0.198
primary_B_C_D_A,B_act,1000,1000,200,0.2
primary_B_C_D_A,C_struct,1000,1000,348,0.348
primary_B_C_D_A,D_ig_cp,1000,1000,747,0.747
primary_B_C_D_A,A_vol,1000,1000,192,0.192
B_C_A,B_act,10,10,3,0.3
B_C_A,C_struct,10,10,5,0.5
B_C_A,A_vol,10,10,3,0.3
B_C_A,B_act,25,25,10,0.4
B_C_A,C_struct,25,25,14,0.56
B_C_A,A_vol,25,25,9,0.36
B_C_A,B_act,50,50,23,0.46
B_C_A,C_struct,50,50,28,0.56
B_C_A,A_vol,50,50,17,0.34
B_C_A,B_act,100,100,30,0.3
B_C_A,C_struct,100,100,56,0.56
B_C_A,A_vol,100,100,28,0.28
B_C_A,B_act,250,250,64,0.256
B_C_A,C_struct,250,250,115,0.46
B_C_A,A_vol,250,250,70,0.28
B_C_A,B_act,500,500,125,0.25
B_C_A,C_struct,500,500,205,0.41
B_C_A,A_vol,500,500,109,0.218
B_C_A,B_act,1000,1000,247,0.247
B_C_A,C_struct,1000,1000,390,0.39
B_C_A,A_vol,1000,1000,218,0.218
B_D_A,B_act,10,10,5,0.5
B_D_A,D_ig_cp,10,10,10,1.0
