feature,nll,auc,brier,delta_nll,delta_auc,delta_brier
token_rows_priced,0.3477050631739519,0.9248812558455135,0.10521540475712729,0.010829912263613017,-0.003516477470703494,0.002468029542796568
last_event_recency_days,0.347589888995661,0.9243528672816299,0.10652332320683466,0.01071473808532214,-0.004044866034587091,0.003775947992503942
max_gap_days,0.3458436260442962,0.9255205945460214,0.10332658159657827,0.008968475133957321,-0.0028771387701955753,0.0005792063822475518
cp_in_distinct_90d,0.34493770426342607,0.9265927304736928,0.10506282287402609,0.008062553353087198,-0.0018050028425241615,0.002315447659695366
cp_reciprocity_90d,0.3442913988992741,0.9264618368207742,0.10465090332343581,0.007416247988935254,-0.0019358964954427904,0.0019035281091050876
asof_mm_clustering,0.34412138144024346,0.9261583285957932,0.10438900593438871,0.007246230529904585,-0.002239404720423832,0.0016416307200579905
cp_distinct_90d,0.34394288610018625,0.9269542353610005,0.10416421890097177,0.0070677351898473795,-0.0014434979552164773,0.0014168436866410505
cp_both_dir_90d,0.34245896774488027,0.9266903849327881,0.10389365486151474,0.0055838168345414,-0.0017073483834288972,0.0011462796471840148
asof_mm_w_out_degree,0.3420105514857789,0.9267002420730253,0.10352443044027933,0.005135400575440041,-0.00169749124319174,0.0007770552259486058
mean_gap_days,0.3415502956557237,0.9273029030424178,0.10364407164435144,0.004675144745384829,-0.0010948302737991966,0.0008966964300207159
events_per_active_day_90d,0.3410504722571808,0.9276098498046911,0.1036925863724826,0.004175321346841954,-0.000787883511525922,0.0009452111581518818
cp_new_30d,0.3408901233897494,0.9270631223752498,0.10341475338907166,0.004014972479410517,-0.001334610940967207,0.0006673781747409402
evt_self_90d,0.34050774537111306,0.9273932219552898,0.10363064159646992,0.0036325944607741856,-0.0010045113609271628,0.0008832663821392028
n_gaps_gt7d,0.3401503066249063,0.9274874378770929,0.10337569181094632,0.003275155714567435,-0.0009102954391241314,0.000628316596615594
tx_cnt_90d,0.3400825205561483,0.9272717269709696,0.10326953848307417,0.0032073696458094214,-0.001126006345247399,0.0005221632687434502
token_event_rate_90d,0.340023997418171,0.9273343083496854,0.10309130435118445,0.003148846507832148,-0.0010634249665315565,0.0003439291368537295
token_rows,0.339992378477008,0.9268217370573457,0.10396696369703046,0.0031172275666691007,-0.0015759962588712817,0.001219588482699735
cp_new_rate_30d,0.33994385483886175,0.9278438995763723,0.10355255745690956,0.0030687039285228757,-0.0005538337398447446,0.0008051822425788335
asof_mm_kcore,0.3396438391145447,0.9275364943424599,0.10344405411122098,0.002768688204205838,-0.0008612389737571169,0.0006966788968902626
cp_out_distinct_90d,0.3396332869723005,0.9281756038071485,0.10352063187574692,0.0027581360619616246,-0.0002221295090685249,0.0007732566614161995
median_gap_days,0.33943865959374026,0.9280717599809276,0.10310023830102305,0.002563508683401383,-0.00032597333528938677,0.0003528630866923288
cp_entropy_90d,0.33867614166536136,0.927576381375048,0.1025890421910736,0.0018009907550224913,-0.0008213519411689463,-0.00015833302325711507
token_usd_priced,0.33786314445896237,0.9279271121788406,0.10233362440157935,0.0009879935486235003,-0.00047062113737639244,-0.0004137508127513706
self_tx_rate_90d,0.3377800551409933,0.9280887234315685,0.10303373620742476,0.0009049042306544242,-0.00030900988464854784,0.00028636099309403695
native_usd,0.33750569926553836,0.9284930954171176,0.1035397406750606,0.0006305483551994895,9.536210090055341e-05,0.0007923654607298741
asof_mm_out_degree,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
asof_mm_in_degree,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
evt_token_90d,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
cp_out_interact_90d,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
evt_native_90d,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
evt_in_90d,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
token_90d,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
cp_in_interact_90d,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
active_span_days_90d,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
active_days_90d,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
out_interact_90d,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
n_events_90d_traj,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
in_mm_subgraph,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
asof_mm_undir_degree,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
n_gaps,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
in_interact_90d,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
active_span_days_traj,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
active_days_90d_traj,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
native_90d,0.33687515091033887,0.928397733316217,0.10274737521433072,0.0,0.0,0.0
evt_cnt_90d,0.3368562155514036,0.9284046103908012,0.10273828983497119,-1.89353589352681e-05,6.877074584243914e-06,-9.085379359535795e-06
asof_mm_hub_neighbors,0.33653686544075245,0.927924819820646,0.10227294688567785,-0.00033828546958641903,-0.0004729134955709924,-0.00047442832865286777
evt_out_90d,0.33614298370216145,0.9290132314914998,0.10243566199840899,-0.0007321672081774255,0.0006154981752828359,-0.00031171321592173007
token_hhi_90d,0.3357653068582591,0.9288518494745915,0.1022345622199925,-0.001109844052079756,0.0004541161583745401,-0.0005128129943382242
token_distinct_90d,0.33539206922039455,0.9289226833428083,0.10225282900695876,-0.001483081689944321,0.0005249500265912532,-0.0004945462073719653
asof_mm_pagerank,0.33514589971295483,0.9295952612371399,0.10266980084978741,-0.0017292511973840408,0.0011975279209228695,-7.757436454330913e-05
std_gap_days,0.33491498623586285,0.9290712281538264,0.10293869995502039,-0.001960164674476017,0.0006734948376093675,0.00019132474068966898
asof_mm_w_in_degree,0.33482749369181486,0.9288864640833318,0.1018794162956624,-0.0020476572185240127,0.0004887307671147534,-0.000867958918668324
first_event_offset_days,0.3344069259336529,0.9290469291569623,0.10179285887506272,-0.002468224976685973,0.000649195840745298,-0.000954516339268005
