target_address,target_exgraph_node_id,activity_tier,traj_cluster,net_cov,stratum,evt_cnt_90d
0x18c6a47aca1c6a237e53ed2fc3a8fb392c97169b,41100,high,1,mm,high|1|mm,2073
0xbfe8d5abf248081fe03236e31efdfdfe1562f9a2,4201,high,1,mm,high|1|mm,363
0xfd4848acdc68b55c9352c59722eac9292668f7cf,10962,high,1,mm,high|1|mm,400
0x699e8cdf7cdbdd990a9709b88076f05610745b09,117197,high,1,mm,high|1|mm,404
0x0be72c280d33d8ccc46ad789bdf0a4b92ac750ce,469136,high,1,mm,high|1|mm,376
0x1c2781c07419ba8cd872c7fb589293d86148db92,851543,high,1,mm,high|1|mm,136
0xefdd8a2d102b5645537e86e1624dfb06ac2c690b,53436,high,1,mm,high|1|mm,538
0xbdd4f4d83f67a09a3bf7d57638e1dcd32387e331,44088,high,1,mm,high|1|mm,942
0x91d00b76fb2633b811c69a56c062268e58bab1e1,75696,high,1,mm,high|1|mm,338
0xdce95a016f359383a617a9c20913ab803bf6bb3c,1637448,high,1,mm,high|1|mm,171
0xd0c42922e603f388b3a2f4512b9c368127f6cb74,1239610,high,1,mm,high|1|mm,752
0x3fb65feeab83bf60b0d1ffbc4217d2d97a35c8d4,13396,high,1,mm,high|1|mm,2947
0x172458ff1b115ba5c2076465977baf6152c5ac72,48742,high,1,mm,high|1|mm,1534
0x9c6d4c10df976205de101f8039184b2a8191f0a7,288649,high,1,mm,high|1|mm,786
0x103c8b5b5b2468f2552f0a1aa30738bf08ada0ca,25262,high,1,mm,high|1|mm,216
0xa90a1452ea66fa8912f5473ec46aaebe65e7306f,4066,high,1,mm,high|1|mm,503
0x2ff20aa09cfa81889b7d049bba6d95a98c0a8424,98466,high,1,mm,high|1|mm,281
0xb4dc05713b90a574ceb8ccd13be18c12ae4d1f99,8730,high,1,mm,high|1|mm,302
0xde1b6dd59a147a5cbd584f5ec2e0954cfecd2816,17198,high,1,mm,high|1|mm,536
0x0f8bd7b597c655869e58b9c1bcfa4ddfe590259d,353133,high,1,mm,high|1|mm,192
0x054b198f53817caf7b4736bc8d4b449f6ba595f9,693305,high,1,no_mm,high|1|no_mm,171
0x9b697b7c3da6b56689304e210e53be0db1164dd8,147996,high,1,no_mm,high|1|no_mm,269
0xa0ee4c481dfea0cb482b80d8c92ac8123b7f4e64,290095,high,1,no_mm,high|1|no_mm,97
0x0a643c455e379e232eee9dfb18d00c9d1399c459,841190,high,1,no_mm,high|1|no_mm,134
0x6c9c7b7a8d79490e034330d8f8118a57eabb478a,423347,high,1,no_mm,high|1|no_mm,249
0xa36aa8df33fddd6eb05414c36aa45edb4ae3d2ff,1763145,high,1,no_mm,high|1|no_mm,200
0xfc800bedad46a37dd79b1bde86936d91949a3b3d,42392,high,1,no_mm,high|1|no_mm,400
0x336ce087593688f431e3d9d57188fa8df10cf49b,403099,high,1,no_mm,high|1|no_mm,376
0xee18508c34eaf81fbd0963beee774ebced87e9a6,138869,high,1,no_mm,high|1|no_mm,89
0xddf29ea907a415c9629af3f43a9612dec3fc481c,322291,high,2,mm,high|2|mm,155
0x1762cce12a181523b48dbd81be22ef203d2740c7,174412,high,2,mm,high|2|mm,188
0x8d2c9c6c5029496fd8321762b20d2529ef027c26,10850,high,2,mm,high|2|mm,260
0x21f4a9780a52c7a8ca5e30bac89a6b0e2722bf65,44349,high,2,mm,high|2|mm,187
0x2804183f265526299d08583c5ecf4619860c2469,316625,high,2,mm,high|2|mm,83
0x95e8a4792d7e5bf6ce3973184400cc9c37b6ae67,7472,high,2,mm,high|2|mm,114
0x58e26b223ca4cf395e74661c6180fc3986135f02,10761,high,2,mm,high|2|mm,119
0x00111cc24163b91011ff9b6e92e7db29b645b9f2,906954,high,2,mm,high|2|mm,107
0xd9ec55c34d9e7ad7131c4b1b84f10427bd107df8,744750,high,2,mm,high|2|mm,141
0x97e7a32139c892c0f0ee9d5280c0f979f0b491d0,111581,high,2,mm,high|2|mm,219
0x0523dbfa086483164bb773c920e6a868a5cd40a1,142459,high,2,mm,high|2|mm,182
0xe92689183961135f51bd5edc601a0aa123c069f3,49449,high,2,mm,high|2|mm,141
0x0db1c6e3ca10d8294fea7e95286e79c3de8b1e06,621533,high,2,mm,high|2|mm,88
0x36b2b845a0c2fd77f4a42dfb84fe868fa245481f,103578,high,2,mm,high|2|mm,99
0x4e309329764dfb001d52c08fae14e46a745df506,20507,high,2,mm,high|2|mm,214
0xf56611fa463d789ab87d3e2f8d2bf4b48a7bcb4b,118358,high,2,mm,high|2|mm,112
0x0059b216929ef8f8c1af9effc34cd0187c793206,137803,high,2,no_mm,high|2|no_mm,90
0xb29952e03f7dfb760adcbeb0e4016188eaace265,229152,high,2,no_mm,high|2|no_mm,102
0xcf9fb3af138f2bd8604842bf91533693d48fb36d,261548,high,2,no_mm,high|2|no_mm,110
0x6fe0e8bdac611e9df3334cdae26062ba621c434e,519330,high,2,no_mm,high|2|no_mm,85
0xa8a384fcda7b5ea26bc51e9c33ae77cdbc89ca14,651007,high,2,no_mm,high|2|no_mm,97
0x6bdb3c76c533302ac2befa9a9d87a6dac5adf4db,520478,high,2,no_mm,high|2|no_mm,138
0x8b4d2fbd7e07dd3368269b9481efc0b687236c9f,242172,high,2,no_mm,high|2|no_mm,87
0xb2eef373152ce1d7111980685f1ab5a99a93e346,144005,high,2,no_mm,high|2|no_mm,100
0x962fcb9ed4ce831a7692e9aa99cc8ede8f2952e9,593471,high,2,no_mm,high|2|no_mm,161
0x4686e9e0bd23fc2a363d639dc00b1212e6be7dc7,37052,high,2,no_mm,high|2|no_mm,83
0x811b23359b88b0a6ac23689afaaa74b822ec40ab,61612,high,2,no_mm,high|2|no_mm,152
0xa345df3aa9b3a24db63c827cd7357420b8798a7e,1309993,high,2,no_mm,high|2|no_mm,87
0xd81378f32788ace00d0ac56d803f2363585425a5,56662,low,0,mm,low|0|mm,11
0x035239bcd05bb3d00f98b143c45a4fd438a59a51,1282175,low,0,mm,low|0|mm,6
0x1307fb8595538ae66c3c2be59128a6d97cc7e0e1,116062,low,0,mm,low|0|mm,14
0xe1ddd5523094508a532d916aa4f7caf76a716aa7,1200014,low,0,mm,low|0|mm,12
0xf67157bdec06fb68bd9f1ab4bb38557f3ee4c57a,320735,low,0,mm,low|0|mm,14
0xb83d796ba4d12d74e2209791349ade68f0e80faf,321105,low,0,mm,low|0|mm,6
0xaa57d2fddbaa18a5a24ef2f65a2f0883b2336562,329409,low,0,mm,low|0|mm,14
0xa75a5404383f9a141c229406e5dc551204633acf,320221,low,0,mm,low|0|mm,6
0xc3c49037e2a6d85894d04bf75f112968599df886,227900,low,0,no_mm,low|0|no_mm,7
