table,condition,level,split,unit,target,n,mean_delta_B4_minus_B0,median_delta_B4_minus_B0,degradation_rate_delta_gt_0,severe_degradation_rate_delta_gt_0_1,mean_gain_B4_vs_B0
categorical,activity_bin,1-2,dev,macro,macro,250,0.08290743043424896,-0.028881679270978178,0.364,0.196,-0.08290743043424896
categorical,activity_bin,1-2,dev,target,active_days,250,0.10144643403445741,-0.028617488402049647,0.344,0.228,-0.10144643403445741
categorical,activity_bin,1-2,dev,target,activity,250,0.0876769039009534,-0.029147789471872597,0.336,0.208,-0.0876769039009534
categorical,activity_bin,1-2,dev,target,counterparty_breadth,250,0.07495976822351963,-0.021150176703826615,0.38,0.216,-0.07495976822351963
categorical,activity_bin,1-2,dev,target,new_counterparties,250,0.06754661557806542,-0.035693267638183604,0.332,0.2,-0.06754661557806542
categorical,activity_bin,1-2,test,macro,macro,250,0.03360853119161898,-0.008801720712982075,0.468,0.248,-0.03360853119161898
categorical,activity_bin,1-2,test,target,active_days,250,0.021385218220429353,-0.014720641899992754,0.424,0.248,-0.021385218220429353
categorical,activity_bin,1-2,test,target,activity,250,0.0365149476618746,-0.020413342590790105,0.464,0.288,-0.0365149476618746
categorical,activity_bin,1-2,test,target,counterparty_breadth,250,0.03480192270481068,-0.0062622022446118045,0.476,0.256,-0.03480192270481068
categorical,activity_bin,1-2,test,target,new_counterparties,250,0.04173203617936129,-0.0110191120780107,0.48,0.264,-0.04173203617936129
categorical,activity_bin,10-19,dev,macro,macro,250,0.0179859730577059,0.020166345798324596,0.532,0.404,-0.0179859730577059
categorical,activity_bin,10-19,dev,target,active_days,250,0.007521882802791389,0.007736370049755151,0.52,0.396,-0.007521882802791389
categorical,activity_bin,10-19,dev,target,activity,250,0.030191640696870962,-0.004372119993792292,0.48,0.316,-0.030191640696870962
categorical,activity_bin,10-19,dev,target,counterparty_breadth,250,0.030419505283383393,0.007192973617123251,0.52,0.372,-0.030419505283383393
categorical,activity_bin,10-19,dev,target,new_counterparties,250,0.003810863447777827,-0.0117225167029228,0.464,0.308,-0.003810863447777827
categorical,activity_bin,10-19,test,macro,macro,250,0.017615261916416557,-0.017772669605189063,0.456,0.336,-0.017615261916416557
categorical,activity_bin,10-19,test,target,active_days,250,0.05304424561489877,0.016315824870714812,0.536,0.372,-0.05304424561489877
categorical,activity_bin,10-19,test,target,activity,250,0.034733199775500614,0.004993170562807851,0.528,0.364,-0.034733199775500614
categorical,activity_bin,10-19,test,target,counterparty_breadth,250,0.0015921306593997286,-0.003929859247696756,0.496,0.356,-0.0015921306593997286
categorical,activity_bin,10-19,test,target,new_counterparties,250,-0.018908528384132896,0.004594585952898151,0.52,0.332,0.018908528384132896
categorical,activity_bin,20+,dev,macro,macro,250,-0.007397788437753155,-0.0054825609994326036,0.476,0.348,0.007397788437753155
categorical,activity_bin,20+,dev,target,active_days,250,0.029347335698051945,0.005583228169513552,0.508,0.4,-0.029347335698051945
categorical,activity_bin,20+,dev,target,activity,250,-0.05647159359387927,0.0128756204635938,0.544,0.344,0.05647159359387927
categorical,activity_bin,20+,dev,target,counterparty_breadth,250,0.02016972590223043,-0.0007821864556506698,0.5,0.384,-0.02016972590223043
categorical,activity_bin,20+,dev,target,new_counterparties,250,-0.02263662175741568,-0.003226367939988201,0.496,0.356,0.02263662175741568
categorical,activity_bin,20+,test,macro,macro,250,0.05166255003015569,0.03857860506785933,0.544,0.42,-0.05166255003015569
categorical,activity_bin,20+,test,target,active_days,250,0.010077555402282775,0.004123685641231958,0.512,0.384,-0.010077555402282775
categorical,activity_bin,20+,test,target,activity,250,0.0811260008407766,0.00547288256608346,0.532,0.36,-0.0811260008407766
categorical,activity_bin,20+,test,target,counterparty_breadth,250,0.07479884093986856,0.05336698629960909,0.568,0.408,-0.07479884093986856
categorical,activity_bin,20+,test,target,new_counterparties,250,0.04064780293769488,-0.005988920772333649,0.484,0.336,-0.04064780293769488
categorical,activity_bin,3-9,dev,macro,macro,250,-0.023773851153368702,-0.020546338706307586,0.4,0.252,0.023773851153368702
categorical,activity_bin,3-9,dev,target,active_days,250,-0.04035120375507304,-0.045278629674270404,0.4,0.252,0.04035120375507304
categorical,activity_bin,3-9,dev,target,activity,250,-0.051310586178305174,-0.023140601909200302,0.416,0.26,0.051310586178305174
categorical,activity_bin,3-9,dev,target,counterparty_breadth,250,-0.02023968586642198,-0.015306479540629352,0.428,0.26,0.02023968586642198
