target,model,n,mean_delta,median_delta,degradation_rate,severe_degradation_rate_gt_0_1,mean_gain
active_days,B1_M1_DETERMINISTIC,2000,0.00947909634941358,-0.0004324867474694849,0.4885,0.24,-0.00947909634941358
active_days,B2_M1_SINGLE_LLM,2000,-0.0022860327736964844,0.0008659285862870902,0.5175,0.179,0.0022860327736964844
active_days,B3_M1_MULTI_LLM,2000,0.02148213773489004,-0.00474259506453845,0.488,0.3055,-0.02148213773489004
active_days,B4_M1_VERIFIED_LLM,2000,0.02613455871862398,-0.014450564774794903,0.465,0.3255,-0.02613455871862398
activity,B1_M1_DETERMINISTIC,2000,0.009800012586802288,0.0002384217067590011,0.523,0.205,-0.009800012586802288
activity,B2_M1_SINGLE_LLM,2000,0.0005311451203926972,3.953268561551759e-05,0.5085,0.1545,-0.0005311451203926972
activity,B3_M1_MULTI_LLM,2000,0.01325143109323826,-0.009027544269871401,0.4505,0.276,-0.01325143109323826
activity,B4_M1_VERIFIED_LLM,2000,0.022473857000460448,-0.010143672089793103,0.4645,0.3055,-0.022473857000460448
counterparty_breadth,B1_M1_DETERMINISTIC,2000,-0.0008301765205649074,-0.00023143840135204756,0.4985,0.191,0.0008301765205649074
counterparty_breadth,B2_M1_SINGLE_LLM,2000,-0.007201115839425968,-0.00036248646500589986,0.497,0.1665,0.007201115839425968
counterparty_breadth,B3_M1_MULTI_LLM,2000,0.01652220425134316,-0.004079270548140848,0.477,0.2725,-0.01652220425134316
counterparty_breadth,B4_M1_VERIFIED_LLM,2000,0.028953269495010942,-0.005922916516337296,0.481,0.3195,-0.028953269495010942
new_counterparties,B1_M1_DETERMINISTIC,2000,0.00150815142279245,-0.000828016046450509,0.465,0.2015,-0.00150815142279245
new_counterparties,B2_M1_SINGLE_LLM,2000,-0.003988554093053851,-0.0007736740421356025,0.469,0.1565,0.003988554093053851
new_counterparties,B3_M1_MULTI_LLM,2000,0.003533447609122927,-0.00621982876778455,0.4645,0.254,-0.003533447609122927
new_counterparties,B4_M1_VERIFIED_LLM,2000,0.01642000474391123,-0.009488517992895348,0.4685,0.294,-0.01642000474391123
