unit,split,model,target,n,mean_delta_model_minus_B0,median_delta_model_minus_B0,degradation_rate_delta_gt_0,severe_degradation_rate_delta_gt_0_1,mean_gain_model_vs_B0,mean_delta_bootstrap_ci_low,mean_delta_bootstrap_ci_high
macro,oos_all,B1_M1_DETERMINISTIC,macro,2000,0.004989270959610857,-0.00025139523626138693,0.4965,0.1755,-0.004989270959610857,-0.003972892810960695,0.014005174984780553
macro,dev,B1_M1_DETERMINISTIC,macro,1000,0.0017601551261467291,0.0005381512520495346,0.532,0.182,-0.0017601551261467291,-0.011483505033010722,0.015221345258798816
macro,test,B1_M1_DETERMINISTIC,macro,1000,0.008218386793074985,-0.00025139523626138693,0.461,0.169,-0.008218386793074985,-0.003237526699574971,0.019920806074812846
target,oos_all,B1_M1_DETERMINISTIC,activity,2000,0.009800012586802288,0.0002384217067590011,0.523,0.205,-0.009800012586802288,-0.0032180308518849547,0.022512496248398368
target,dev,B1_M1_DETERMINISTIC,activity,1000,0.003584876290458187,0.0002384217067590011,0.515,0.21,-0.003584876290458187,-0.01568466424802147,0.023456124606647484
target,test,B1_M1_DETERMINISTIC,activity,1000,0.01601514888314639,0.0014806244429488857,0.531,0.2,-0.01601514888314639,-0.0011912265287353002,0.03386785446354194
target,oos_all,B1_M1_DETERMINISTIC,active_days,2000,0.00947909634941358,-0.0004324867474694849,0.4885,0.24,-0.00947909634941358,-0.008539744753105412,0.027136032032494754
target,dev,B1_M1_DETERMINISTIC,active_days,1000,0.0021992263038141937,0.0011528474125279131,0.508,0.25,-0.0021992263038141937,-0.023919129510285568,0.028277892285173585
target,test,B1_M1_DETERMINISTIC,active_days,1000,0.01675896639501297,-0.0004324867474694849,0.469,0.23,-0.01675896639501297,-0.006323152875381277,0.04055558094202878
target,oos_all,B1_M1_DETERMINISTIC,counterparty_breadth,2000,-0.0008301765205649074,-0.00023143840135204756,0.4985,0.191,0.0008301765205649074,-0.01372770551079176,0.012603276872090334
target,dev,B1_M1_DETERMINISTIC,counterparty_breadth,1000,-0.0041393154410304545,-0.000914840061058908,0.487,0.197,0.0041393154410304545,-0.024137563238529957,0.015363376349235588
target,test,B1_M1_DETERMINISTIC,counterparty_breadth,1000,0.00247896239990064,2.746736890529844e-05,0.51,0.185,-0.00247896239990064,-0.014672482579475872,0.020128530754153093
target,oos_all,B1_M1_DETERMINISTIC,new_counterparties,2000,0.00150815142279245,-0.000828016046450509,0.465,0.2015,-0.00150815142279245,-0.01267124249658409,0.016056198344299805
target,dev,B1_M1_DETERMINISTIC,new_counterparties,1000,0.005395833351345008,-0.0003171047930539961,0.478,0.219,-0.005395833351345008,-0.01728693421617373,0.02813576688648327
target,test,B1_M1_DETERMINISTIC,new_counterparties,1000,-0.0023795305057601078,-0.0014839689500084075,0.452,0.184,0.0023795305057601078,-0.020273503258209476,0.016370668301123253
macro,oos_all,B2_M1_SINGLE_LLM,macro,2000,-0.003236139396445906,-0.0004931758438628253,0.494,0.107,0.003236139396445906,-0.008686541184371822,0.0018314426626471888
macro,dev,B2_M1_SINGLE_LLM,macro,1000,-0.007535609905858954,-0.0004931758438628253,0.47,0.105,0.007535609905858954,-0.015410574334492394,0.00016500471752477027
macro,test,B2_M1_SINGLE_LLM,macro,1000,0.0010633311129671426,0.0012724525661235997,0.518,0.109,-0.0010633311129671426,-0.005631557570588345,0.007772278244538639
target,oos_all,B2_M1_SINGLE_LLM,activity,2000,0.0005311451203926972,3.953268561551759e-05,0.5085,0.1545,-0.0005311451203926972,-0.007232661893101054,0.008528857534640291
target,dev,B2_M1_SINGLE_LLM,activity,1000,0.00075667143469697,3.953268561551759e-05,0.53,0.16,-0.00075667143469697,-0.01123449670998046,0.012602667010405086
target,test,B2_M1_SINGLE_LLM,activity,1000,0.0003056188060884244,-0.0009246088802443999,0.487,0.149,-0.0003056188060884244,-0.010026968190596341,0.010641866810732105
target,oos_all,B2_M1_SINGLE_LLM,active_days,2000,-0.0022860327736964844,0.0008659285862870902,0.5175,0.179,0.0022860327736964844,-0.011150699213589311,0.005906169224965417
target,dev,B2_M1_SINGLE_LLM,active_days,1000,-0.005785843877644196,0.0008659285862870902,0.516,0.176,0.005785843877644196,-0.019002134076743688,0.007740171102324957
target,test,B2_M1_SINGLE_LLM,active_days,1000,0.0012137783302512267,0.0012891404857525018,0.519,0.182,-0.0012137783302512267,-0.008663568069459365,0.0110529504227383
target,oos_all,B2_M1_SINGLE_LLM,counterparty_breadth,2000,-0.007201115839425968,-0.00036248646500589986,0.497,0.1665,0.007201115839425968,-0.017150768091284272,0.0026056414610450135
target,dev,B2_M1_SINGLE_LLM,counterparty_breadth,1000,-0.019947869960366026,-0.0021044906052183066,0.47,0.144,0.019947869960366026,-0.03390751773193271,-0.006978486232406789
target,test,B2_M1_SINGLE_LLM,counterparty_breadth,1000,0.00554563828151409,0.0012886792965218444,0.524,0.189,-0.00554563828151409,-0.008989563693234108,0.01928974418935069
target,oos_all,B2_M1_SINGLE_LLM,new_counterparties,2000,-0.003988554093053851,-0.0007736740421356025,0.469,0.1565,0.003988554093053851,-0.01390564180796067,0.005553286635905336
target,dev,B2_M1_SINGLE_LLM,new_counterparties,1000,-0.005165397220122539,-0.0007736740421356025,0.446,0.153,0.005165397220122539,-0.019274489715334266,0.009230482240965607
target,test,B2_M1_SINGLE_LLM,new_counterparties,1000,-0.0028117109659851645,-0.0011431780157447995,0.492,0.16,0.0028117109659851645,-0.015896619746776544,0.009985103616259846
macro,oos_all,B3_M1_MULTI_LLM,macro,2000,0.013697305172148603,-0.0052505080059261945,0.481,0.276,-0.013697305172148603,-0.0007948737529961753,0.028273035017549016
macro,dev,B3_M1_MULTI_LLM,macro,1000,0.024257360952878514,-0.004177579062710572,0.484,0.307,-0.024257360952878514,-0.0010405582587415182,0.04864929859995966
macro,test,B3_M1_MULTI_LLM,macro,1000,0.0031372493914186912,-0.0070308823733932595,0.478,0.245,-0.0031372493914186912,-0.011542466964193683,0.017825605971632363
target,oos_all,B3_M1_MULTI_LLM,activity,2000,0.01325143109323826,-0.009027544269871401,0.4505,0.276,-0.01325143109323826,-0.00693498486460072,0.033664409355448774
target,dev,B3_M1_MULTI_LLM,activity,1000,0.01833751486438542,-0.008889289058177912,0.447,0.274,-0.01833751486438542,-0.016076946146018515,0.05065090703054352
