split,scope,evidence_group,n_all,n_claimed,claim_rate,median_relevant_response,median_placebo_response,median_diff,median_diff_ci_low,median_diff_ci_high,mean_diff,mean_diff_ci_low,mean_diff_ci_high,positive_diff_rate,gate_pass
dev,all,E_SELF,1000,1000,1.0,0.2219490264659951,0.058082277918148455,0.16788001909341752,0.1515163910122061,0.17954125482904365,0.17957057948850141,0.16741223601214042,0.19151874106035768,0.836,True
dev,all,E_MARKET,1000,991,0.991,0.13094471509963174,0.058082277918148455,0.06980350924753365,0.06201154058809105,0.07977847679678231,0.07789399318219972,0.06849453227947415,0.08711229710293174,0.7023208879919274,True
dev,low_activity,E_SELF,500,500,1.0,0.20735944129801864,0.07400930108135428,0.15842539003022255,0.1343362397232825,0.17383016612366464,0.15055928618177428,0.137600130867181,0.16351861645143592,0.842,True
dev,low_activity,E_MARKET,500,495,0.99,0.1467050840394319,0.07550829700124077,0.09393366991303853,0.0793869435071627,0.10509864537061189,0.09593783919920174,0.08226732452787161,0.11056392552591947,0.7595959595959596,True
dev,active,E_SELF,500,500,1.0,0.2618914499899275,0.053571428571428575,0.17489800584180773,0.15893820915866225,0.20597492096496295,0.20858187279522855,0.18900575728333388,0.22870731269877118,0.83,True
dev,active,E_MARKET,500,496,0.992,0.1163666970931519,0.053571428571428575,0.049971119250260446,0.03433115626269429,0.0595884941485821,0.05988652588700618,0.047975436755968666,0.07255447611363053,0.6451612903225806,True
test,all,E_SELF,1000,1000,1.0,0.26804487467960714,0.07658501848002544,0.181511017185895,0.17180743433352222,0.19003158826140448,0.171234595421923,0.16188960893380583,0.18042069809486336,0.884,True
test,all,E_MARKET,1000,961,0.961,0.125,0.07829716086746542,0.04371773861215351,0.030989693045636202,0.05448859634597883,0.04953086610063825,0.04116880942552446,0.058134551755542156,0.6285119667013528,True
test,low_activity,E_SELF,500,500,1.0,0.23069466180887283,0.10075348356346045,0.14159974052371635,0.12900243030097158,0.1608610119915535,0.1404732661898896,0.12751599850651632,0.15287498220134874,0.852,True
test,low_activity,E_MARKET,500,484,0.968,0.13589441496535387,0.10099090368440605,0.053234621456130574,0.03148364136634241,0.06700810823391366,0.04853118191505688,0.03560792231623114,0.061615616286575914,0.6198347107438017,True
test,active,E_SELF,500,500,1.0,0.30209300674015016,0.05527346770593504,0.2137807920789471,0.19345613997712524,0.23015560544221142,0.20199592465395647,0.18883631530638537,0.21460391086912936,0.916,True
test,active,E_MARKET,500,477,0.954,0.11856673881032671,0.05603937300465418,0.03862979770060144,0.026289218154363293,0.05201329177922945,0.05054522070403738,0.038671663541648145,0.06200232398781765,0.6373165618448637,True
