n,log_loss,balanced_accuracy,macro_f1,model,target,split,descriptive_direct
1000,0.7609417282945729,0.6273899355025012,0.6262481927025001,B0_M1,activity,dev,
1000,0.7724515043583299,0.6633233938736786,0.6375513551383788,B0_M1,activity,test,
1000,0.8704824258257452,0.5911257397927004,0.583845546262871,B0_M1,active_days,dev,
1000,0.8577933431280973,0.6059455104490373,0.582523008177723,B0_M1,active_days,test,
1000,0.8005903932012796,0.639243837936574,0.6330941939631062,B0_M1,counterparty_breadth,dev,
1000,0.8127832406679031,0.6485818775606323,0.6212791115830736,B0_M1,counterparty_breadth,test,
1000,0.7418691052469519,0.6314422225754444,0.6227960370495436,B0_M1,new_counterparties,dev,
1000,0.7995032458059627,0.6395331405301778,0.6091443950391665,B0_M1,new_counterparties,test,
1000,0.764526604585031,0.6338638362226996,0.6332493724351231,B1_M1_DETERMINISTIC,activity,dev,
1000,0.7884666532414762,0.6681710511544227,0.6409467001087941,B1_M1_DETERMINISTIC,activity,test,
1000,0.8726816521295593,0.6063403497568188,0.5994720987110105,B1_M1_DETERMINISTIC,active_days,dev,
1000,0.8745523095231101,0.5908515431033066,0.5649015717571598,B1_M1_DETERMINISTIC,active_days,test,
1000,0.796451077760249,0.6298682270831867,0.6266894319756976,B1_M1_DETERMINISTIC,counterparty_breadth,dev,
1000,0.8152622030678036,0.6410647422290418,0.6160533970724109,B1_M1_DETERMINISTIC,counterparty_breadth,test,
1000,0.7472649385982968,0.6337971534106076,0.6294196571990097,B1_M1_DETERMINISTIC,new_counterparties,dev,
1000,0.7971237153002024,0.640862504925432,0.6163630754307032,B1_M1_DETERMINISTIC,new_counterparties,test,
1000,0.7616983997292698,0.6467630756707484,0.6436973023251372,B2_M1_SINGLE_LLM,activity,dev,
1000,0.7727571231644184,0.6680258845319268,0.63843832000552,B2_M1_SINGLE_LLM,activity,test,
1000,0.8646965819481008,0.6002712025726741,0.5921953695492421,B2_M1_SINGLE_LLM,active_days,dev,
1000,0.8590071214583485,0.616602816005963,0.5927479571768371,B2_M1_SINGLE_LLM,active_days,test,
1000,0.7806425232409135,0.6469813242008309,0.6404864144978405,B2_M1_SINGLE_LLM,counterparty_breadth,dev,
1000,0.818328878949417,0.6380533096710753,0.6126810981406452,B2_M1_SINGLE_LLM,counterparty_breadth,test,
1000,0.7367037080268294,0.6406897501156549,0.6338373555911688,B2_M1_SINGLE_LLM,new_counterparties,dev,
