split,comparison,target,n,estimate_a_minus_b,ci_low,ci_high,fraction_a_lower_loss,better_positive,pass_if_ci_low_gt_zero
test,B0_M1_vs_B4_M1_VERIFIED_LLM,activity,1000,-0.04242612279451092,-0.07828267590182048,-0.007836929798913952,0.515,True,False
test,B0_M1_vs_B4_M1_VERIFIED_LLM,active_days,1000,-0.027778005242191022,-0.05964087441328006,0.003780698029499598,0.513,True,False
test,B0_M1_vs_B4_M1_VERIFIED_LLM,counterparty_breadth,1000,-0.031579210604344016,-0.06607071928370103,0.002261163410982293,0.495,True,False
test,B0_M1_vs_B4_M1_VERIFIED_LLM,new_counterparties,1000,-0.016458277374134207,-0.0477762923162153,0.014961111765938161,0.506,True,False
test,B0_M1_vs_B4_M1_VERIFIED_LLM,macro,1000,-0.02956040400379504,-0.056689825703020114,-0.0031656437147884577,0.516,True,False
test,B2_M1_SINGLE_LLM_vs_B4_M1_VERIFIED_LLM,activity,1000,-0.042120503988422486,-0.07640870931934034,-0.008734723773517656,0.51,True,False
test,B2_M1_SINGLE_LLM_vs_B4_M1_VERIFIED_LLM,active_days,1000,-0.026564226911939787,-0.058110511657422884,0.004763554676053286,0.518,True,False
test,B2_M1_SINGLE_LLM_vs_B4_M1_VERIFIED_LLM,counterparty_breadth,1000,-0.02603357232282993,-0.05957675303770539,0.007728170011769303,0.496,True,False
test,B2_M1_SINGLE_LLM_vs_B4_M1_VERIFIED_LLM,new_counterparties,1000,-0.01926998834011937,-0.05009637865499978,0.011647723983232324,0.493,True,False
test,B2_M1_SINGLE_LLM_vs_B4_M1_VERIFIED_LLM,macro,1000,-0.0284970728908279,-0.054696391717704074,-0.0031178038782188537,0.514,True,False
test,B0_M1_vs_B3_M1_MULTI_LLM,activity,1000,-0.008165347322091097,-0.03027898809342443,0.013549846012726071,0.546,True,False
test,B0_M1_vs_B3_M1_MULTI_LLM,active_days,1000,-0.0066564453324088205,-0.02727925305102509,0.014123504239007522,0.518,True,False
test,B0_M1_vs_B3_M1_MULTI_LLM,counterparty_breadth,1000,-0.009289987355084175,-0.02956770254580492,0.011525123699403996,0.502,True,False
test,B0_M1_vs_B3_M1_MULTI_LLM,new_counterparties,1000,0.011562782443909366,-0.009153111804516431,0.03280578183218011,0.532,True,False
test,B0_M1_vs_B3_M1_MULTI_LLM,macro,1000,-0.0031372493914186873,-0.01837624244712554,0.011841213351490602,0.522,True,False
