audit,stratum,n_rows,m0_loss,m1_loss,m2_loss,m1_minus_m0_improvement,m2_minus_m1_improvement,m2_minus_m0_improvement,feature,baseline_feature,spearman_rho,abs_spearman_rho
history_activity_strata,1-2,1663,0.4486662939349169,0.3887568796405959,0.38839994270132333,0.059909414294321006,0.0003569369392725785,0.060266351233593585,,,,
history_activity_strata,10-19,2072,0.7935342706324099,0.7020798773713998,0.7006486605022414,0.09145439326101013,0.0014312168691583693,0.0928856101301685,,,,
history_activity_strata,3-9,2726,0.6027370134379172,0.5263843570726853,0.525223966547822,0.07635265636523192,0.001160390524863275,0.0775130468900952,,,,
history_activity_strata,>=20,8222,0.8952460916884668,0.79413361743793,0.7933138215521496,0.10111247425053682,0.0008197958857804055,0.10193227013631723,,,,
native_inflow_quartile,Q1,7451,0.6993827860305938,0.6277917769930675,0.6271054017875042,0.07159100903752624,0.000686375205563361,0.0722773842430896,,,,
native_inflow_quartile,Q2,1031,0.7358319373568383,0.633931824078149,0.6328835927179133,0.10190011327868931,0.0010482313602356852,0.102948344638925,,,,
native_inflow_quartile,Q3,3373,0.8745289841577221,0.7614470897927309,0.7603574056921489,0.11308189436499116,0.0010896841005819669,0.11417157846557313,,,,
native_inflow_quartile,Q4,2828,0.8750280729722788,0.7658703259688304,0.7646000851038194,0.10915774700344838,0.0012702408650110408,0.11042798786845942,,,,
degree_quartile,Q1,4722,0.555695003698074,0.47956987906146575,0.4789054426843544,0.07612512463660825,0.0006644363771113326,0.07678956101371959,,,,
degree_quartile,Q2,3821,0.8628667937732817,0.7705109986772104,0.7681722092436533,0.09235579509607128,0.0023387894335571424,0.09469458452962842,,,,
degree_quartile,Q3,3097,0.9597369863928908,0.8509263164263843,0.8508477132566924,0.10881066996650657,7.860316969188208e-05,0.10888927313619845,,,,
degree_quartile,Q4,3043,0.8218199956390596,0.7300467498732426,0.7296703986370635,0.09177324576581702,0.0003763512361790733,0.0921495970019961,,,,
remove_high_activity_tail,below_train_q95,13912,0.7798648384428402,0.6896216130894547,0.6888356321041564,0.09024322535338547,0.0007859809852982513,0.09102920633868372,,,,
remove_high_activity_tail,train_top5pct_or_equal,771,0.7063941473951556,0.611526167847156,0.6082471972127856,0.09486797954799964,0.003278970634370326,0.09814695018236996,,,,
structural_activity_monotonicity,,32892,,,,,,,counterparty_entropy_30d,log1p_history_event_count_30d,0.8932963207985198,0.8932963207985198
structural_activity_monotonicity,,32892,,,,,,,counterparty_entropy_30d,log1p_event_count_30d,0.8932963207985198,0.8932963207985198
structural_activity_monotonicity,,32892,,,,,,,counterparty_entropy_30d,log1p_unique_counterparties_30d,0.9630336300047767,0.9630336300047767
structural_activity_monotonicity,,32892,,,,,,,counterparty_entropy_30d,log1p_event_count_7d,0.7188357268091581,0.7188357268091581
structural_activity_monotonicity,,32892,,,,,,,normalized_counterparty_entropy,log1p_history_event_count_30d,-0.26806417292370605,0.26806417292370605
structural_activity_monotonicity,,32892,,,,,,,normalized_counterparty_entropy,log1p_event_count_30d,-0.26806417292370605,0.26806417292370605
structural_activity_monotonicity,,32892,,,,,,,normalized_counterparty_entropy,log1p_unique_counterparties_30d,-0.15725979219970693,0.15725979219970693
structural_activity_monotonicity,,32892,,,,,,,normalized_counterparty_entropy,log1p_event_count_7d,-0.22228275301025796,0.22228275301025796
structural_activity_monotonicity,,31745,,,,,,,reciprocity_rate_prior,log1p_history_event_count_30d,0.5029957936070419,0.5029957936070419
structural_activity_monotonicity,,31745,,,,,,,reciprocity_rate_prior,log1p_event_count_30d,0.5029957936070419,0.5029957936070419
structural_activity_monotonicity,,31745,,,,,,,reciprocity_rate_prior,log1p_unique_counterparties_30d,0.4501523455599626,0.4501523455599626
structural_activity_monotonicity,,31745,,,,,,,reciprocity_rate_prior,log1p_event_count_7d,0.3150889611788612,0.3150889611788612
structural_activity_monotonicity,,32892,,,,,,,reciprocity_rate_30d,log1p_history_event_count_30d,0.5016545431647318,0.5016545431647318
structural_activity_monotonicity,,32892,,,,,,,reciprocity_rate_30d,log1p_event_count_30d,0.5016545431647318,0.5016545431647318
structural_activity_monotonicity,,32892,,,,,,,reciprocity_rate_30d,log1p_unique_counterparties_30d,0.44466831747065644,0.44466831747065644
structural_activity_monotonicity,,32892,,,,,,,reciprocity_rate_30d,log1p_event_count_7d,0.3483658443764861,0.3483658443764861
