model_family,ladder,cutoff,evaluation_role,n_rows,target_dimension,mse,mae
ridge,M0,2022-07-01,development,15736,event_log_change_7d,0.857793902228612,0.7181288209829778
ridge,M0,2022-07-01,development,15736,counterparty_log_change_7d,0.7970382631338361,0.6929019105254907
ridge,M0,2022-07-01,development,15736,active_day_change_7d,0.6462206669025986,0.6066123537643109
ridge,M0,2022-07-01,development,15736,incoming_share_change_7d,0.5956046291878979,0.5426945784649757
ridge,M0,2022-07-01,development,15736,outgoing_share_change_7d,0.6578875872329832,0.6291116212362352
ridge,M0,2022-07-01,development,15736,native_share_change_7d,0.8007749237763049,0.6321861002756199
ridge,M0,2022-07-01,development,15736,token_share_change_7d,0.7730313130928309,0.6216304502122558
ridge,M0,2022-08-01,frozen_test,14683,event_log_change_7d,0.7841179860375886,0.6895203930849734
ridge,M0,2022-08-01,frozen_test,14683,counterparty_log_change_7d,0.7775866738579036,0.6867588829241574
ridge,M0,2022-08-01,frozen_test,14683,active_day_change_7d,0.6994613443860819,0.6260137202891987
ridge,M0,2022-08-01,frozen_test,14683,incoming_share_change_7d,0.7822704625092398,0.6143659929299943
ridge,M0,2022-08-01,frozen_test,14683,outgoing_share_change_7d,0.7155922076133483,0.6590947536649312
ridge,M0,2022-08-01,frozen_test,14683,native_share_change_7d,0.8327009075127534,0.6630429489223556
ridge,M0,2022-08-01,frozen_test,14683,token_share_change_7d,0.8403188169395407,0.6645513687903456
ridge,M1,2022-07-01,development,15736,event_log_change_7d,0.8445297463245516,0.717132474917705
ridge,M1,2022-07-01,development,15736,counterparty_log_change_7d,0.7883483421603598,0.6932397710697636
ridge,M1,2022-07-01,development,15736,active_day_change_7d,0.6181682239240481,0.5898092866387892
ridge,M1,2022-07-01,development,15736,incoming_share_change_7d,0.5449257977864123,0.5115279662770895
ridge,M1,2022-07-01,development,15736,outgoing_share_change_7d,0.6333692252239157,0.6117842003122506
