model_family,target_dimension,contrast,baseline,model,baseline_mse,model_mse,improvement,relative_improvement
ridge,event_log_change_7d,temporal,M0,M1,0.7841179860375797,0.7777820198359714,0.006335966201608256,0.008080373508106978
ridge,event_log_change_7d,structural,M1,M2_CORE,0.7777820198359714,0.7780741982178118,-0.00029217838184036893,-0.0003756558706538205
ridge,event_log_change_7d,total,M0,M2_CORE,0.7841179860375797,0.7780741982178118,0.006043787819767887,0.007707753077198554
ridge,counterparty_log_change_7d,temporal,M0,M1,0.7775866738579124,0.7707187024681241,0.00686797138978823,0.008832419099614363
ridge,counterparty_log_change_7d,structural,M1,M2_CORE,0.7707187024681241,0.7703426728362309,0.0003760296318932044,0.0004878947801435459
ridge,counterparty_log_change_7d,total,M0,M2_CORE,0.7775866738579124,0.7703426728362309,0.007244001021681434,0.009316004588583168
ridge,active_day_change_7d,temporal,M0,M1,0.6994613443860754,0.6729639985947973,0.02649734579127816,0.03788250201951497
ridge,active_day_change_7d,structural,M1,M2_CORE,0.6729639985947973,0.6718740250230514,0.0010899735717458947,0.001619661042822271
ridge,active_day_change_7d,total,M0,M2_CORE,0.6994613443860754,0.6718740250230514,0.027587319363024054,0.0394408062496116
ridge,incoming_share_change_7d,temporal,M0,M1,0.7822704625092399,0.7434469308148169,0.038823531694422986,0.04962929517994477
ridge,incoming_share_change_7d,structural,M1,M2_CORE,0.7434469308148169,0.74157660174423,0.001870329070586929,0.002515753301364834
ridge,incoming_share_change_7d,total,M0,M2_CORE,0.7822704625092399,0.74157660174423,0.040693860765009915,0.05202019341811625
ridge,outgoing_share_change_7d,temporal,M0,M1,0.7155922076133487,0.6960221989871315,0.019570008626217272,0.027347990123435507
ridge,outgoing_share_change_7d,structural,M1,M2_CORE,0.6960221989871315,0.6947996603459823,0.0012225386411491845,0.0017564650135128632
ridge,outgoing_share_change_7d,total,M0,M2_CORE,0.7155922076133487,0.6947996603459823,0.020792547267366457,0.02905641934910666
ridge,native_share_change_7d,temporal,M0,M1,0.8327009075127371,0.5715489259431488,0.2611519815695883,0.31362038784086915
ridge,native_share_change_7d,structural,M1,M2_CORE,0.5715489259431488,0.5704038230542389,0.001145102888909899,0.0020035080759189475
ridge,native_share_change_7d,total,M0,M2_CORE,0.8327009075127371,0.5704038230542389,0.2622970844584982,0.31499555493697606
ridge,token_share_change_7d,temporal,M0,M1,0.8403188169395529,0.5661631333862873,0.2741556835532656,0.3262519867777596
ridge,token_share_change_7d,structural,M1,M2_CORE,0.5661631333862873,0.5651567188525927,0.001006414533694655,0.001777605206603922
ridge,token_share_change_7d,total,M0,M2_CORE,0.8403188169395529,0.5651567188525927,0.27516209808696024,0.32744964475400246
hist_gradient_boosting,event_log_change_7d,temporal,M0,M1,0.7852203627589011,0.7829385159286675,0.0022818468302335804,0.002905995486688891
hist_gradient_boosting,event_log_change_7d,structural,M1,M2_CORE,0.7829385159286675,0.7831701091483744,-0.00023159321970689373,-0.0002958000085513661
hist_gradient_boosting,event_log_change_7d,total,M0,M2_CORE,0.7852203627589011,0.7831701091483744,0.0020502536105266866,0.002611055071627338
hist_gradient_boosting,counterparty_log_change_7d,temporal,M0,M1,0.7758465597465346,0.775045199211732,0.0008013605348026198,0.0010328853363278693
hist_gradient_boosting,counterparty_log_change_7d,structural,M1,M2_CORE,0.775045199211732,0.774184366811073,0.0008608324006589285,0.0011106867077358164
hist_gradient_boosting,counterparty_log_change_7d,total,M0,M2_CORE,0.7758465597465346,0.774184366811073,0.0016621929354615483,0.0021424248320500113
hist_gradient_boosting,active_day_change_7d,temporal,M0,M1,0.6804676384264065,0.675586335174435,0.004881303251971447,0.007173453925390997
hist_gradient_boosting,active_day_change_7d,structural,M1,M2_CORE,0.675586335174435,0.677616858994917,-0.0020305238204819664,-0.0030055726629782844
hist_gradient_boosting,active_day_change_7d,total,M0,M2_CORE,0.6804676384264065,0.677616858994917,0.0028507794314894808,0.0041894415994300025
hist_gradient_boosting,incoming_share_change_7d,temporal,M0,M1,0.7233062797105766,0.7272955602218029,-0.0039892805112262675,-0.005515340628347007
hist_gradient_boosting,incoming_share_change_7d,structural,M1,M2_CORE,0.7272955602218029,0.726480482430333,0.0008150777914698315,0.0011206967786538636
hist_gradient_boosting,incoming_share_change_7d,total,M0,M2_CORE,0.7233062797105766,0.726480482430333,-0.003174202719756436,-0.004388462825217776
hist_gradient_boosting,outgoing_share_change_7d,temporal,M0,M1,0.6838339108156547,0.6862410699679333,-0.002407159152278626,-0.003520093277339004
hist_gradient_boosting,outgoing_share_change_7d,structural,M1,M2_CORE,0.6862410699679333,0.6871739651632285,-0.0009328951952951581,-0.0013594278106070661
hist_gradient_boosting,outgoing_share_change_7d,total,M0,M2_CORE,0.6838339108156547,0.6871739651632285,-0.0033400543475737843,-0.004884306400643216
hist_gradient_boosting,native_share_change_7d,temporal,M0,M1,0.7048295245805902,0.5605191375479911,0.14431038703259913,0.2047450936713686
hist_gradient_boosting,native_share_change_7d,structural,M1,M2_CORE,0.5605191375479911,0.5600975218128984,0.00042161573509269523,0.0007521879394467542
hist_gradient_boosting,native_share_change_7d,total,M0,M2_CORE,0.7048295245805902,0.5600975218128984,0.14473200276769183,0.20534327482069484
hist_gradient_boosting,token_share_change_7d,temporal,M0,M1,0.7137579144111719,0.5523501168182186,0.16140779759295332,0.22613801449208412
hist_gradient_boosting,token_share_change_7d,structural,M1,M2_CORE,0.5523501168182186,0.5526844514421256,-0.00033433462390708435,-0.0006052947464427091
hist_gradient_boosting,token_share_change_7d,total,M0,M2_CORE,0.7137579144111719,0.5526844514421256,0.16107346296904623,0.22566959989778446
