model_family,ladder,split,n_rows,n_wallets,multivariate_standardized_mse,scalar_surprise_mse,scalar_surprise_mae,scalar_surprise_spearman,selected_alpha
ridge,M0,dev,15736,15736,0.7326216122221456,0.4303846850589008,0.5083227570466288,0.30940167330479945,100.0
ridge,M0,test,14683,14683,0.7760069141223495,0.46493606883247174,0.5454288335712321,0.3875203099505473,100.0
ridge,M1,dev,15736,15736,0.6431756618308003,0.3486819451814622,0.4475508489566281,0.4175375030821659,100.0
ridge,M1,test,14683,14683,0.6855208442900396,0.3817499033827402,0.4766406795663565,0.44880837737664586,100.0
ridge,M2_CORE,dev,15736,15736,0.6429662068218082,0.3467940806556848,0.4460344308708365,0.41916453784666424,100.0
ridge,M2_CORE,test,14683,14683,0.6846039571534482,0.3798735055820911,0.475163034462001,0.4487342410416649,100.0
hist_gradient_boosting,M0,dev,15736,15736,0.6887798095869023,0.3827022251351004,0.47051485324849385,0.39930083043067316,
hist_gradient_boosting,M0,test,14683,14683,0.7238945986356908,0.40817150364854443,0.4989795335243402,0.44528350654556687,
hist_gradient_boosting,M1,dev,15736,15736,0.6424538236913939,0.3416048369322326,0.43957348316602396,0.45394061537237734,
hist_gradient_boosting,M1,test,14683,14683,0.6799965621243972,0.3719730436411588,0.46886866552773504,0.47502819282563086,
hist_gradient_boosting,M2_CORE,dev,15736,15736,0.64234990350549,0.34031725380034417,0.43865389103751423,0.45402707432494527,
hist_gradient_boosting,M2_CORE,test,14683,14683,0.68020110797185,0.37167966674903596,0.4682971877267266,0.4746582074461166,
