model_family,ladder,horizon,split,n_rows,n_wallets,mse,mae,selected_alpha
ridge,M0,30d,dev,15736,15736,0.8797451907750281,0.7289207001392866,10.0
ridge,M0,30d,test,14683,14683,1.032062163803348,0.7910141725114522,10.0
ridge,M1,30d,dev,15736,15736,0.8525531208237416,0.7111579350460419,10.0
ridge,M1,30d,test,14683,14683,1.0069057539422772,0.7763441434323851,10.0
ridge,M2_CORE,30d,dev,15736,15736,0.8509967474513465,0.7106649849922307,10.0
ridge,M2_CORE,30d,test,14683,14683,1.0036203881629338,0.7754813631309265,10.0
hist_gradient_boosting,M0,30d,dev,15736,15736,0.8644143248470633,0.7139723593243009,
hist_gradient_boosting,M0,30d,test,14683,14683,1.0025872950541925,0.7738992368198551,
hist_gradient_boosting,M1,30d,dev,15736,15736,0.8560003005154198,0.7106490102618924,
hist_gradient_boosting,M1,30d,test,14683,14683,1.0001483149564676,0.7717566310822159,
hist_gradient_boosting,M2_CORE,30d,dev,15736,15736,0.8527139675479154,0.7091024617959591,
hist_gradient_boosting,M2_CORE,30d,test,14683,14683,0.996647400668197,0.7706063177231367,
ridge,M0_vs_M1,30d,test_gain,14683,14683,0.025156409861070816,0.024374897892162423,10.0
ridge,M1_vs_M2_CORE,30d,test_gain,14683,14683,0.003285365779343463,0.0032628334543530705,10.0
ridge,M0_vs_M2_CORE,30d,test_gain,14683,14683,0.02844177564041428,0.027558200114226505,10.0
hist_gradient_boosting,M0_vs_M1,30d,test_gain,14683,14683,0.0024389800977249187,0.0024326860212138287,
hist_gradient_boosting,M1_vs_M2_CORE,30d,test_gain,14683,14683,0.0035009142882705957,0.0035003951273196677,
hist_gradient_boosting,M0_vs_M2_CORE,30d,test_gain,14683,14683,0.0059398943859955144,0.005924565786238541,
