stratum,ladder,n_rows,n_wallets,mse,mae
repeated,M0,13989,13989,0.794728199843693,0.6694187934866095
repeated,M1,13989,13989,0.7035920347850818,0.6196795575779187
repeated,M2_CORE,13989,13989,0.7026703710926302,0.6195707221461086
repeated,M1_vs_M0,13989,13989,0.09113616505861122,0.11467589180368315
repeated,M2_vs_M1,13989,13989,0.0009216636924516131,0.0013099404866530973
repeated,M2_vs_M0,13989,13989,0.09205782875106283,0.11583561369681955
unseen,M0,694,694,0.39864082484875546,0.4198153683178262
unseen,M1,694,694,0.3212587638359407,0.35663874092033593
unseen,M2_CORE,694,694,0.32043815802489717,0.35644066300353094
unseen,M1_vs_M0,694,694,0.07738206101281475,0.19411474236782836
unseen,M2_vs_M1,694,694,0.0008206058110435399,0.0025543452923905414
unseen,M2_vs_M0,694,694,0.07820266682385829,0.19617325158186802
all,M0,14683,14683,0.7760069141223495,0.6576211515151366
all,M1,14683,14683,0.6855208442900396,0.6072467899718189
all,M2_CORE,14683,14683,0.6846039571534482,0.6071337364453018
all,M1_vs_M0,14683,14683,0.09048606983230989,0.11660472115077491
all,M2_vs_M1,14683,14683,0.0009168871365913267,0.0013375043869612775
all,M2_vs_M0,14683,14683,0.09140295696890122,0.11778626621165662
