cutoff,score,k,spearman_future_volume,top_future_volume_mean,random_future_volume_mean,top_future_new_cp_mean,random_future_new_cp_mean
2022-05-01,embedding_iforest,50,0.023739565572359816,4.8,4.0,1.12,0.68
2022-05-01,embedding_iforest,100,0.023739565572359816,6.0,6.4,1.25,1.19
2022-05-01,embedding_iforest,250,0.023739565572359816,5.824,6.208,1.364,1.316
2022-05-01,embedding_iforest,500,0.023739565572359816,5.616,7.156,1.352,1.246
2022-05-01,embedding_novelty,50,0.038448948712237425,2.32,5.0,0.68,0.8
2022-05-01,embedding_novelty,100,0.038448948712237425,2.58,4.58,0.77,0.7
2022-05-01,embedding_novelty,250,0.038448948712237425,2.368,8.744,0.76,1.156
2022-05-01,embedding_novelty,500,0.038448948712237425,2.144,6.136,0.684,1.016
2022-06-01,embedding_iforest,50,0.06032116407217292,1.32,5.76,0.46,0.82
2022-06-01,embedding_iforest,100,0.06032116407217292,4.34,3.66,0.71,0.88
2022-06-01,embedding_iforest,250,0.06032116407217292,4.824,4.96,0.836,0.888
2022-06-01,embedding_iforest,500,0.06032116407217292,6.464,6.44,1.13,1.094
2022-06-01,embedding_novelty,50,0.07962791512743438,2.84,8.68,0.84,1.5
2022-06-01,embedding_novelty,100,0.07962791512743438,2.7,4.52,0.81,0.74
2022-06-01,embedding_novelty,250,0.07962791512743438,2.864,5.792,0.828,1.288
2022-06-01,embedding_novelty,500,0.07962791512743438,2.564,6.648,0.708,0.96
2022-07-01,embedding_iforest,50,-0.01328107600100091,1.88,8.84,0.72,0.62
2022-07-01,embedding_iforest,100,-0.01328107600100091,2.12,10.32,0.76,1.29
2022-07-01,embedding_iforest,250,-0.01328107600100091,5.32,6.784,1.284,0.884
2022-07-01,embedding_iforest,500,-0.01328107600100091,5.996,8.2,1.188,1.024
2022-07-01,embedding_novelty,50,-0.017275041884512614,2.72,7.84,0.74,1.08
2022-07-01,embedding_novelty,100,-0.017275041884512614,3.28,6.94,0.89,1.13
2022-07-01,embedding_novelty,250,-0.017275041884512614,2.672,6.408,0.776,1.068
2022-07-01,embedding_novelty,500,-0.017275041884512614,2.372,6.044,0.642,0.966
2022-08-01,embedding_iforest,50,-0.1013735101663338,2.48,8.48,0.74,0.86
2022-08-01,embedding_iforest,100,-0.1013735101663338,2.12,8.28,0.68,0.94
2022-08-01,embedding_iforest,250,-0.1013735101663338,6.224,7.12,1.08,0.92
2022-08-01,embedding_iforest,500,-0.1013735101663338,6.356,9.624,1.082,1.03
2022-08-01,embedding_novelty,50,-0.04912779576381216,5.0,3.72,0.56,0.9
2022-08-01,embedding_novelty,100,-0.04912779576381216,3.6,5.72,0.54,0.7
2022-08-01,embedding_novelty,250,-0.04912779576381216,3.688,8.496,0.676,1.0
2022-08-01,embedding_novelty,500,-0.04912779576381216,2.82,54.664,0.582,2.24
