cutoff,score,k,selection,n_nodes,future_volume_mean,future_new_counterparties_mean,future_active_days_mean,history_volume_mean,spearman,p_value
2022-05-01,volume,50.0,top,6958,607.44,24.84,11.58,776.96,,
2022-05-01,volume,50.0,random,6958,4.48,0.96,1.34,6.44,,
2022-05-01,volume,100.0,top,6958,319.94,13.56,8.73,429.46,,
2022-05-01,volume,100.0,random,6958,4.16,0.75,1.26,7.34,,
2022-05-01,volume,250.0,top,6958,145.584,7.816,6.84,202.44,,
2022-05-01,volume,250.0,random,6958,6.272,1.016,1.588,8.392,,
2022-05-01,volume,500.0,top,6958,83.832,5.524,5.558,117.488,,
2022-05-01,volume,500.0,random,6958,5.944,1.074,1.53,9.368,,
2022-05-01,volume,,spearman_future_volume,6958,,,,,0.4344517796366571,0.0
2022-05-01,active_days,50.0,top,6958,580.2,23.72,12.04,723.12,,
2022-05-01,active_days,50.0,random,6958,6.04,0.48,1.06,10.76,,
2022-05-01,active_days,100.0,top,6958,319.36,15.96,10.12,397.6,,
2022-05-01,active_days,100.0,random,6958,5.5,0.57,1.03,11.36,,
2022-05-01,active_days,250.0,top,6958,148.488,9.172,7.796,184.344,,
2022-05-01,active_days,250.0,random,6958,103.504,4.268,1.576,124.944,,
2022-05-01,active_days,500.0,top,6958,83.716,6.114,6.084,106.944,,
2022-05-01,active_days,500.0,random,6958,56.012,2.736,1.644,66.996,,
2022-05-01,active_days,,spearman_future_volume,6958,,,,,0.450863646818632,0.0
2022-05-01,unique_counterparties,50.0,top,6958,566.48,30.54,10.36,670.8,,
2022-05-01,unique_counterparties,50.0,random,6958,12.64,2.74,2.46,8.64,,
2022-05-01,unique_counterparties,100.0,top,6958,306.72,19.89,8.82,364.08,,
2022-05-01,unique_counterparties,100.0,random,6958,8.3,1.97,1.84,8.02,,
2022-05-01,unique_counterparties,250.0,top,6958,137.56,10.636,6.368,166.472,,
2022-05-01,unique_counterparties,250.0,random,6958,6.872,1.5,1.684,8.96,,
2022-05-01,unique_counterparties,500.0,top,6958,75.224,6.814,4.87,94.308,,
2022-05-01,unique_counterparties,500.0,random,6958,5.968,1.316,1.59,8.62,,
2022-05-01,unique_counterparties,,spearman_future_volume,6958,,,,,0.32858460267803247,7.70907664896582e-175
2022-05-01,counterparty_entropy,50.0,top,6958,557.4,20.92,8.56,668.56,,
2022-05-01,counterparty_entropy,50.0,random,6958,5.64,0.84,1.4,7.56,,
2022-05-01,counterparty_entropy,100.0,top,6958,284.72,11.0,5.77,348.28,,
2022-05-01,counterparty_entropy,100.0,random,6958,4.76,0.88,1.3,8.08,,
2022-05-01,counterparty_entropy,250.0,top,6958,127.968,6.02,5.224,161.408,,
2022-05-01,counterparty_entropy,250.0,random,6958,6.336,1.108,1.588,9.72,,
2022-05-01,counterparty_entropy,500.0,top,6958,72.344,4.438,4.082,91.4,,
2022-05-01,counterparty_entropy,500.0,random,6958,7.024,1.13,1.624,9.712,,
