cutoff,selection,draw,episode_count,n_nodes,future_volume,future_new_cp,future_active_days
2022-05-01,volume,0,142,100,14.64,2.88,0.0
2022-05-01,volume,1,142,100,7.04,2.04,0.0
2022-05-01,volume,2,142,100,6.42,1.73,0.0
2022-05-01,volume,3,142,100,8.02,1.83,0.0
2022-05-01,volume,4,142,100,14.04,2.9,0.0
2022-05-01,volume,5,142,100,10.72,2.57,0.0
2022-05-01,volume,6,142,100,8.42,1.62,0.0
2022-05-01,volume,7,142,100,9.12,1.52,0.0
2022-05-01,volume,8,142,100,8.84,1.76,0.0
2022-05-01,volume,9,142,100,7.08,2.15,0.0
2022-05-01,volume,10,142,100,8.72,1.79,0.0
2022-05-01,volume,11,142,100,10.54,1.99,0.0
2022-05-01,volume,12,142,100,5.82,1.6,0.0
2022-05-01,volume,13,142,100,13.08,2.49,0.0
2022-05-01,volume,14,142,100,8.74,2.24,0.0
2022-05-01,volume,15,142,100,8.26,2.05,0.0
2022-05-01,volume,16,142,100,11.54,2.52,0.0
2022-05-01,volume,17,142,100,6.4,1.82,0.0
2022-05-01,volume,18,142,100,8.78,1.95,0.0
2022-05-01,volume,19,142,100,8.16,2.15,0.0
2022-05-01,volume,20,142,100,7.46,1.93,0.0
2022-05-01,volume,21,142,100,11.98,2.92,0.0
2022-05-01,volume,22,142,100,7.96,1.89,0.0
2022-05-01,volume,23,142,100,5.82,1.47,0.0
2022-05-01,volume,24,142,100,7.78,1.65,0.0
2022-05-01,volume,25,142,100,8.94,2.16,0.0
2022-05-01,volume,26,142,100,10.82,2.9,0.0
2022-05-01,volume,27,142,100,10.52,2.52,0.0
2022-05-01,volume,28,142,100,9.14,2.19,0.0
2022-05-01,volume,29,142,100,13.42,2.62,0.0
2022-05-01,volume,30,142,100,8.94,1.97,0.0
2022-05-01,volume,31,142,100,11.94,2.1,0.0
2022-05-01,volume,32,142,100,6.1,2.22,0.0
2022-05-01,volume,33,142,100,7.38,1.72,0.0
2022-05-01,volume,34,142,100,14.44,2.86,0.0
2022-05-01,volume,35,142,100,8.54,1.83,0.0
2022-05-01,volume,36,142,100,6.2,1.68,0.0
2022-05-01,volume,37,142,100,8.26,1.75,0.0
2022-05-01,volume,38,142,100,10.32,2.82,0.0
2022-05-01,volume,39,142,100,6.14,1.64,0.0
2022-05-01,volume,40,142,100,7.88,1.58,0.0
2022-05-01,volume,41,142,100,7.16,2.16,0.0
2022-05-01,volume,42,142,100,7.74,2.0,0.0
2022-05-01,volume,43,142,100,10.46,2.29,0.0
2022-05-01,volume,44,142,100,10.54,2.8,0.0
2022-05-01,volume,45,142,100,5.56,1.45,0.0
2022-05-01,volume,46,142,100,5.6,1.54,0.0
2022-05-01,volume,47,142,100,12.04,2.76,0.0
2022-05-01,volume,48,142,100,7.46,1.54,0.0
2022-05-01,volume,49,142,100,9.84,1.63,0.0
2022-05-01,volume,50,142,100,9.72,1.81,0.0
2022-05-01,volume,51,142,100,8.22,1.71,0.0
2022-05-01,volume,52,142,100,7.7,1.49,0.0
2022-05-01,volume,53,142,100,7.34,2.02,0.0
2022-05-01,volume,54,142,100,17.9,3.84,0.0
2022-05-01,volume,55,142,100,8.02,1.77,0.0
2022-05-01,volume,56,142,100,7.82,1.74,0.0
2022-05-01,volume,57,142,100,8.9,2.11,0.0
2022-05-01,volume,58,142,100,7.32,1.74,0.0
2022-05-01,volume,59,142,100,11.92,2.05,0.0
2022-05-01,volume,60,142,100,11.98,2.26,0.0
2022-05-01,volume,61,142,100,8.52,2.38,0.0
2022-05-01,volume,62,142,100,10.0,2.77,0.0
2022-05-01,volume,63,142,100,15.42,2.54,0.0
2022-05-01,volume,64,142,100,14.84,2.61,0.0
2022-05-01,volume,65,142,100,11.4,2.25,0.0
2022-05-01,volume,66,142,100,10.22,2.3,0.0
2022-05-01,volume,67,142,100,12.04,2.73,0.0
2022-05-01,volume,68,142,100,10.92,2.52,0.0
2022-05-01,volume,69,142,100,14.18,2.41,0.0
2022-05-01,volume,70,142,100,10.68,2.22,0.0
2022-05-01,volume,71,142,100,7.9,1.92,0.0
2022-05-01,volume,72,142,100,8.88,2.48,0.0
2022-05-01,volume,73,142,100,5.62,1.73,0.0
2022-05-01,volume,74,142,100,9.14,1.89,0.0
2022-05-01,volume,75,142,100,6.64,1.87,0.0
2022-05-01,volume,76,142,100,9.38,1.77,0.0
2022-05-01,volume,77,142,100,14.86,2.49,0.0
2022-05-01,volume,78,142,100,8.22,2.22,0.0
2022-05-01,volume,79,142,100,9.56,2.47,0.0
2022-05-01,volume,80,142,100,9.04,1.77,0.0
2022-05-01,volume,81,142,100,9.24,1.86,0.0
2022-05-01,volume,82,142,100,9.16,2.37,0.0
2022-05-01,volume,83,142,100,9.62,2.08,0.0
2022-05-01,volume,84,142,100,7.4,2.07,0.0
2022-05-01,volume,85,142,100,10.02,1.73,0.0
2022-05-01,volume,86,142,100,6.6,2.0,0.0
2022-05-01,volume,87,142,100,10.42,2.48,0.0
2022-05-01,volume,88,142,100,8.94,1.79,0.0
2022-05-01,volume,89,142,100,6.34,1.64,0.0
2022-05-01,volume,90,142,100,8.7,1.9,0.0
2022-05-01,volume,91,142,100,7.44,1.91,0.0
2022-05-01,volume,92,142,100,6.92,1.81,0.0
2022-05-01,volume,93,142,100,6.8,1.63,0.0
2022-05-01,volume,94,142,100,8.2,2.49,0.0
2022-05-01,volume,95,142,100,6.48,1.6,0.0
2022-05-01,volume,96,142,100,6.76,1.58,0.0
2022-05-01,volume,97,142,100,8.84,2.47,0.0
2022-05-01,volume,98,142,100,9.84,2.13,0.0
2022-05-01,volume,99,142,100,11.68,2.53,0.0
