experiment_id,w_rv_pred,w_di_pred,w_behavior_pred,w_uncertainty_pred,w_novelty_pred,k,selected_rv_mean,incremental_mrr,positive_rate
SEL_BENCH_001,0.5,0.0,0.25,0.25,0.0,100,0.515956086419365,0.0515956086419365,0.86
SEL_BENCH_001,0.75,0.0,0.0,0.25,0.0,100,0.5080228012857517,0.05080228012857517,0.85
SEL_BENCH_001,1.0,0.0,0.0,0.0,0.0,100,0.5076932000624996,0.050769320006249966,0.84
SEL_BENCH_001,0.25,0.0,0.25,0.5,0.0,100,0.5072482127265318,0.050724821272653174,0.87
SEL_BENCH_001,0.5,0.0,0.0,0.25,0.25,100,0.5069800713548639,0.05069800713548638,0.85
SEL_BENCH_001,0.0,0.0,0.25,0.5,0.25,100,0.5058084460978116,0.05058084460978116,0.88
SEL_BENCH_001,0.75,0.0,0.0,0.0,0.25,100,0.505379086422728,0.050537908642272804,0.83
SEL_BENCH_001,0.75,0.0,0.25,0.0,0.0,100,0.5036276550661816,0.05036276550661816,0.81
SEL_BENCH_001,0.25,0.0,0.25,0.0,0.5,100,0.502166428540063,0.050216642854006295,0.86
SEL_BENCH_001,0.25,0.0,0.5,0.0,0.25,100,0.49942291586701304,0.0499422915867013,0.84
SEL_BENCH_001,0.25,0.0,0.25,0.25,0.25,100,0.4971156966796524,0.049711569667965236,0.84
SEL_BENCH_001,0.5,0.0,0.25,0.0,0.25,100,0.49573005974989776,0.04957300597498977,0.85
SEL_BENCH_001,0.5,0.0,0.0,0.5,0.0,100,0.4938727347287084,0.049387273472870835,0.86
SEL_BENCH_001,0.0,0.0,0.5,0.0,0.5,100,0.4900933641385482,0.04900933641385482,0.85
SEL_BENCH_001,0.0,0.0,0.75,0.0,0.25,100,0.4826083888425263,0.04826083888425264,0.82
SEL_BENCH_001,0.0,0.0,0.25,0.0,0.75,100,0.4819319939687863,0.048193199396878626,0.85
SEL_BENCH_001,0.25,0.0,0.5,0.25,0.0,100,0.4799382889724903,0.047993828897249034,0.85
SEL_BENCH_001,0.25,0.0,0.0,0.5,0.25,100,0.47873623030191154,0.04787362303019115,0.88
SEL_BENCH_001,0.5,0.0,0.5,0.0,0.0,100,0.47718714883501434,0.047718714883501434,0.79
SEL_BENCH_001,0.0,0.0,0.5,0.25,0.25,100,0.4757322977310022,0.04757322977310022,0.83
SEL_BENCH_001,0.0,0.0,0.0,0.0,1.0,100,0.47131822856675354,0.04713182285667536,0.81
SEL_BENCH_001,0.0,0.0,0.25,0.25,0.5,100,0.46836498802298393,0.04683649880229839,0.83
SEL_BENCH_001,0.25,0.0,0.0,0.75,0.0,100,0.463534870787623,0.0463534870787623,0.86
SEL_BENCH_001,0.25,0.0,0.75,0.0,0.0,100,0.4608492809111624,0.04608492809111624,0.79
SEL_BENCH_001,0.5,0.0,0.0,0.0,0.5,100,0.4558088067975757,0.04558088067975757,0.82
SEL_BENCH_001,0.25,0.0,0.0,0.0,0.75,100,0.4551069232054482,0.04551069232054482,0.79
SEL_BENCH_001,0.0,0.0,0.0,0.75,0.25,100,0.4545594533751347,0.045455945337513466,0.86
SEL_BENCH_001,0.25,0.0,0.0,0.25,0.5,100,0.45195424653439464,0.04519542465343947,0.81
SEL_BENCH_001,0.0,0.0,0.0,0.5,0.5,100,0.4429940963851367,0.04429940963851367,0.85
SEL_BENCH_001,0.0,0.0,0.0,0.25,0.75,100,0.4320601174835067,0.04320601174835067,0.81
SEL_BENCH_001,0.0,0.25,0.5,0.0,0.25,100,0.43081367455951664,0.04308136745595166,0.84
SEL_BENCH_001,0.0,0.0,0.75,0.25,0.0,100,0.42337477086107617,0.04233747708610762,0.79
SEL_BENCH_001,0.0,0.0,0.5,0.5,0.0,100,0.4203577146738928,0.04203577146738928,0.81
SEL_BENCH_001,0.25,0.25,0.5,0.0,0.0,100,0.4179774339482759,0.04179774339482759,0.82
SEL_BENCH_001,0.25,0.25,0.25,0.25,0.0,100,0.41739650939622663,0.04173965093962266,0.84
SEL_BENCH_001,0.75,0.25,0.0,0.0,0.0,100,0.4127859557689452,0.041278595576894526,0.81
SEL_BENCH_001,0.25,0.25,0.0,0.5,0.0,100,0.41163760687281786,0.04116376068728179,0.83
SEL_BENCH_001,0.5,0.25,0.25,0.0,0.0,100,0.40930120198914466,0.04093012019891447,0.82
SEL_BENCH_001,0.5,0.25,0.0,0.25,0.0,100,0.40177559388580486,0.04017755938858048,0.8
SEL_BENCH_001,0.0,0.25,0.25,0.0,0.5,100,0.3989818142901564,0.03989818142901563,0.81
SEL_BENCH_001,0.0,0.25,0.0,0.5,0.25,100,0.39691871735780765,0.039691871735780766,0.83
SEL_BENCH_001,0.25,0.25,0.25,0.0,0.25,100,0.39413159096291606,0.03941315909629161,0.83
SEL_BENCH_001,0.0,0.25,0.25,0.25,0.25,100,0.39110596559043886,0.039110596559043885,0.82
SEL_BENCH_001,0.0,0.25,0.0,0.0,0.75,100,0.39030543491739167,0.039030543491739164,0.79
SEL_BENCH_001,0.0,0.0,0.25,0.75,0.0,100,0.38663640363485724,0.03866364036348573,0.79
SEL_BENCH_001,0.25,0.25,0.0,0.25,0.25,100,0.3824363081715191,0.03824363081715191,0.8
SEL_BENCH_001,0.5,0.25,0.0,0.0,0.25,100,0.3784042001355327,0.03784042001355327,0.78
SEL_BENCH_001,0.25,0.25,0.0,0.0,0.5,100,0.3756296161001935,0.03756296161001935,0.8
SEL_BENCH_001,0.0,0.25,0.0,0.25,0.5,100,0.3734508219996684,0.037345082199966836,0.79
SEL_BENCH_001,0.0,0.0,0.0,1.0,0.0,100,0.34114760508132913,0.03411476050813291,0.71
SEL_BENCH_001,0.0,0.25,0.25,0.5,0.0,100,0.33528111680419004,0.033528111680419005,0.79
SEL_BENCH_001,0.25,0.5,0.25,0.0,0.0,100,0.3290921562639364,0.03290921562639364,0.8
SEL_BENCH_001,0.5,0.5,0.0,0.0,0.0,100,0.3264929752839334,0.032649297528393344,0.76
SEL_BENCH_001,0.0,0.0,1.0,0.0,0.0,100,0.32091868907249393,0.03209186890724939,0.72
SEL_BENCH_001,0.0,0.25,0.5,0.25,0.0,100,0.3173528813404576,0.03173528813404576,0.77
SEL_BENCH_001,0.0,0.5,0.25,0.0,0.25,100,0.31648470121898137,0.03164847012189814,0.77
SEL_BENCH_001,0.0,0.25,0.0,0.75,0.0,100,0.31038586209716745,0.031038586209716747,0.75
SEL_BENCH_001,0.25,0.5,0.0,0.0,0.25,100,0.30443401949446086,0.030443401949446083,0.77
SEL_BENCH_001,0.0,0.5,0.0,0.25,0.25,100,0.29450779331274823,0.029450779331274823,0.75
SEL_BENCH_001,0.25,0.5,0.0,0.25,0.0,100,0.29257015371829376,0.029257015371829374,0.75
SEL_BENCH_001,0.0,0.5,0.0,0.0,0.5,100,0.28973913975546345,0.028973913975546346,0.75
SEL_BENCH_001,0.0,0.25,0.75,0.0,0.0,100,0.2757700755228943,0.027577007552289427,0.72
SEL_BENCH_001,0.25,0.75,0.0,0.0,0.0,100,0.2444184187379011,0.024441841873790112,0.67
SEL_BENCH_001,0.0,0.5,0.25,0.25,0.0,100,0.21298593862847245,0.021298593862847246,0.69
SEL_BENCH_001,0.0,0.5,0.0,0.5,0.0,100,0.2103122826615171,0.02103122826615171,0.68
SEL_BENCH_001,0.0,0.75,0.0,0.0,0.25,100,0.20819257809346656,0.020819257809346656,0.66
SEL_BENCH_001,0.0,0.5,0.5,0.0,0.0,100,0.195836110733457,0.019583611073345702,0.71
SEL_BENCH_001,0.0,0.75,0.25,0.0,0.0,100,0.15341015932681543,0.015341015932681543,0.63
SEL_BENCH_001,0.0,0.75,0.0,0.25,0.0,100,0.13255271263753196,0.013255271263753195,0.59
SEL_BENCH_001,0.0,1.0,0.0,0.0,0.0,100,0.07863692698416486,0.007863692698416485,0.53
